"","Wall.B","Wall.Q","Rozas.ZA","Rozas.ZZ","Kelly.Z_nS"
"218611 - 222971",0,0,3.4457256855771e-05,-0.000979325336595981,0.00101378259345175
"223010 - 224364",0,0,1.56860970094701e-05,4.99617853997718e-06,1.06899184694929e-05
"224779 - 231733",0.0882352941176471,0.114285714285714,0.0888647776178255,0.0801996289344661,0.00866514868335945
"232342 - 233735",0,0,1.79305751567314e-05,-1.29661518284756e-06,1.9227190339579e-05
"233990 - 237708",0,0,1.44224824707384e-06,-5.1817863587549e-07,1.96042688294933e-06
"238360 - 239499",0,0,7.64694649031974e-07,1.95420369036355e-08,7.45152612128338e-07
"240911 - 242347",0,0,5.27237426234684e-05,-0.000155499424352663,0.000208223166976132
"244986 - 260286",0,0,0.00184409748557547,0.000442309912255521,0.00140178757331995
"259944 - 263782",0,0,5.21088255118372e-06,-6.46757765918382e-05,6.98866591430219e-05
"264062 - 266503",0,0,2.6935371929668e-06,-4.12117382996953e-05,4.39052754926621e-05
"266566 - 268913",0,0,4.89828873964872e-07,1.39890251792729e-08,4.75839848785599e-07
"268919 - 271537",0,0,3.77569900690235e-06,-7.93608874269751e-06,1.17117877495999e-05
"271572 - 277979",0.0277777777777778,0.0540540540540541,0.0397255173775381,0.0354853948386189,0.00424012253891925
"277684 - 281983",0,0,0.00297532964903502,-7.45194315801361e-05,0.00304984908061516
"282403 - 288297",0,0,0.0130257479293034,0.0110648366498827,0.00196091127942069
"290361 - 301167",0,0,0.00928250228979305,0.00759384268731545,0.0016886596024776
"301259 - 302267",0,0,0.000626322317466863,-0.000255618157203126,0.000881940474669989
"302892 - 305696",0,0,1.27685836948282e-05,-1.18652700862698e-06,1.39551107034552e-05
"305485 - 313556",0,0,0.0041530393479632,0.00233443557751953,0.00181860377044367
"315105 - 315919",0,0,1.01821897649892e-05,-0.000482696078016282,0.000492878267781271
"315974 - 319564",0,0,2.84358278629544e-05,-0.00194306952038984,0.0019715053482528
"320299 - 322945",0,0,0.0602232226142149,0.049373604632036,0.010849617982179
"322950 - 325688",0,0,0.000105262964597592,-0.00253067566191288,0.00263593862651047
"328473 - 330639",0,0,1.98077371845952e-06,-1.26117408567698e-07,2.10689112702722e-06
"331524 - 334219",0,0,3.87365615363125e-06,-0.00309819961422168,0.00310207327037531
"333546 - 345127",0.00900900900900901,0.0178571428571429,0.0126203136577921,0.0107866854123751,0.00183362824541698
"346308 - 346727",0,0,1.70291074630574e-05,-3.30590036555116e-05,5.0088111118569e-05
"347345 - 352121",0,0,9.27813648777728e-06,-0.00204971645838488,0.00205899459487266
"351527 - 353137",0,0,2.76782130382012e-06,-7.21235841383126e-07,3.48905714520324e-06
"353655 - 359878",0,0,5.33794565660019e-06,-0.000143124827214229,0.000148462772870829
"360382 - 361906",0,0,5.16625545404558e-06,-1.27421013481274e-06,6.44046558885833e-06
"361974 - 364336",0,0,1.14235371573614e-05,-0.00377796756195173,0.00378939109910909
"363313 - 365044",0,0,4.81551364949096e-06,-0.000340473584798735,0.000345289098448226
"365916 - 367353",0,0,9.18802312556944e-05,-8.8886663076196e-05,0.00018076689433189
"367527 - 368741",0,0,6.38668435432014e-06,-0.000134145735824799,0.000140532420179119
"369885 - 371270",0,0,1.76847712349653e-06,4.35836865464768e-07,1.33264025803176e-06
"373039 - 376677",0.0227272727272727,0.0444444444444444,0.0298733164478413,0.0266799123464931,0.00319340410134818
"376962 - 383799",0.02,0.0392156862745098,0.0202181439810075,0.0185937793488246,0.00162436463218294
"384240 - 391362",0,0,0.0245625758404425,0.0223151747381878,0.00224740110225471
"390866 - 394044",0,0,3.43432033327522e-05,-0.00096943580992506,0.00100377901325781
"394047 - 394714",0,0,1.17843413323301e-06,-2.94888085852365e-07,1.47332221908537e-06
"396410 - 401290",0,0,3.26921500770553e-05,-0.000403352794892264,0.00043604494496932
"401320 - 403441",0,0,0.000980701034500976,-0.0117867845888499,0.0127674856233509
"403032 - 405486",0,0,4.10993126846515e-06,3.90220593538752e-07,3.7197106749264e-06
"405513 - 408243",0,0,2.40286402242088e-05,7.71545807064227e-06,1.63131821535665e-05
"408485 - 411102",0,0,1.79476115190322e-05,7.15073931928145e-06,1.07968721997507e-05
"413403 - 416357",0.0294117647058824,0.0571428571428571,0.0298340177396291,0.0263563608616597,0.00347765687796936
"417372 - 420824",0.0384615384615385,0.0740740740740741,0.0384633995968467,0.0329116470117093,0.00555175258513748
"422011 - 422958",0,0,0.00428378567004216,0.00212077077936063,0.00216301489068153
"424078 - 427891",0,0,6.04394871663644e-06,-1.17638075532635e-05,1.78077562698999e-05
"427283 - 435517",0,0,3.00539361468113e-05,-0.00137620935726858,0.00140626329341539
"435640 - 438373",0,0,9.26014170440666e-05,-0.000154791047742426,0.000247392464786493
"438826 - 440791",0,0,1.07585746006487e-05,-0.000947334931959461,0.00095809350656011
"440536 - 445079",0.0555555555555556,0.105263157894737,0.0555566029826802,0.0497075334208159,0.0058490695618643
"445327 - 448141",0,0,9.32547851334723e-06,-3.77358237690946e-06,1.30990608902567e-05
"448569 - 450669",NA,NA,NA,NA,NA
"451590 - 456137",0.0263157894736842,0.0512820512820513,0.0263345652568002,0.0222174347163853,0.00411713054041496
"456470 - 458157",0,0,2.06647841319431e-06,-1.50147204901975e-06,3.56795046221405e-06
"458379 - 462772",0,0,2.06235099223171e-06,-0.0166576506496242,0.0166597130006164
"461577 - 464007",0,0,1.1190276003266e-05,3.21487861398997e-06,7.97539738927608e-06
"464039 - 468171",0,0,7.46317253187786e-05,-0.000361466183840072,0.000436097909158851
"469218 - 469299",NA,NA,NA,NA,NA
"469858 - 469930",NA,NA,NA,NA,NA
"470021 - 473920",0,0,0.000317340611843585,-0.00137186164699289,0.00168920225883648
"474132 - 475694",0,0,2.9376987567591e-07,0,2.9376987567591e-07
"475944 - 476585",NA,NA,NA,NA,NA
"478964 - 481141",0,0,8.86198820108153e-05,-0.00182217431297196,0.00191079419498277
"480653 - 485264",0,0,5.20004839422036e-05,-0.000820723448616981,0.000872723932559185
"484937 - 489959",0,0,4.80733992284006e-06,-0.00291460138040461,0.00291940872032745
"490388 - 494260",0,0,2.83923847133841e-05,-0.000163067508509214,0.000191459893222598
"498831 - 503922",0,0,0.000224534784641525,-0.00110501771686058,0.00132955250150211
"504413 - 505095",0,0,1.17699331163263e-06,0,1.17699331163263e-06
"505544 - 509792",0,0,3.81447741966587e-06,-0.00319771039563989,0.00320152487305955
"510180 - 512923",0,0,4.75838136595279e-05,-0.00131333637829834,0.00136092019195787
"513083 - 517579",0,0,0.000332810348335998,-0.00214655985014498,0.00247937019848098
"517722 - 517793",NA,NA,NA,NA,NA
"518154 - 518225",0,0,1.53265527737609e-06,-3.54827436996861e-07,1.88748271437295e-06
"518685 - 519101",0,0,2.0630983907901e-06,5.8977617170473e-07,1.47332221908537e-06
"519261 - 526401",0,0,0.000313354485888391,-0.00126754204381556,0.00158089652970395
"527408 - 535614",0,0,0.000483802432560757,-0.000597008963742094,0.00108081139630285
"536310 - 540069",0,0,0.0644813096313555,0.0545723361486505,0.00990897348270508
"539768 - 541690",0,0,1.11888072569532e-06,2.15104442258013e-08,1.09737028146952e-06
"541759 - 543070",0,0,1.09040548382641e-05,-0.0030174531627829,0.00302835721762116
"543378 - 545746",0,0,9.18467164233512e-05,-0.00129078841098488,0.00138263512740823
"545623 - 554633",0,0,0.00139111980574999,0.000644695441855792,0.000746424363894196
"573285 - 573419",NA,NA,NA,NA,NA
"576810 - 584668",0,0,0.00374256382547022,0.00136279477679058,0.00237976904867964
"603166 - 604456",0,0,0.000172474395319775,7.8494434174388e-05,9.39799611453871e-05
"663115 - 664901",0,0,2.35967848769771e-06,-0.000292047420639363,0.000294407099127061
"665765 - 668508",0,0,2.9473639657854e-05,-0.000502965740110427,0.000532439379768281
"668291 - 669784",0,0,8.27715799157659e-06,-7.99877996074773e-06,1.62759379523243e-05
"670824 - 672750",0,0,2.38610940184871e-05,-0.00349844208952772,0.00352230318354621
"672035 - 679718",0,0,0.000859295364027959,3.05958945396949e-05,0.000828699469488264
"681263 - 686296",0.04,0.0588235294117647,0.0400060652993879,0.037465340797039,0.00254072450234889
"686017 - 687474",0,0,1.31821735535123e-05,4.00791574679194e-06,9.17425780672032e-06
"688057 - 689439",0,0,5.58639806589783e-06,-1.98585266817249e-06,7.57225073407032e-06
"689248 - 690639",0,0,2.3552631889017e-06,0,2.3552631889017e-06
"690721 - 692635",0,0,1.04023788891642e-05,1.34064972690934e-06,9.06172916225482e-06
"693250 - 696792",0,0,0.0252823382810406,0.0234602792095005,0.00182205907154011
"697475 - 700443",0,0,3.94571048130156e-06,-0.00066106453380275,0.000665010244284052
"700633 - 705339",0,0,0.000221458410075988,-0.000222497983602324,0.000443956393678312
"706094 - 709615",0,0,1.95798622389753e-06,-6.89060683841745e-05,7.0864054608072e-05
"708854 - 710099",0,0,1.65757098709714e-06,-8.99926508960345e-07,2.55749749605748e-06
"710117 - 715849",0,0,0.000120837230037971,-0.00097225292186341,0.00109309015190138
"717422 - 723139",0,0,0.00965293862148555,0.00892984291827195,0.000723095703213598
"722433 - 724446",0.1,0.181818181818182,0.100378034575735,0.082026167617553,0.0183518669581823
"724910 - 727410",0,0,0.000740403214038951,0.000160947358402725,0.000579455855636226
"727456 - 728891",0.125,0.222222222222222,0.125001729966868,0.0972221200947879,0.0277796098720806
"729587 - 731615",0,0,1.44639812541317e-05,-0.000654338035689287,0.000668802016943418
"732052 - 740562",0,0,0.000194574134386511,-0.00050194613258005,0.000696520266966562
"741816 - 743452",0,0,1.13193224962046e-05,-8.62288205619916e-06,1.99422045524037e-05
"743611 - 745637",0,0,1.13413138097292e-06,-0.00118857781666609,0.00118971194804706
"747897 - 750065",0,0,0.00124965950421572,-0.000865186085560615,0.00211484558977634
"750307 - 753786",0,0,1.68202843318497e-06,-1.48871960501828e-07,1.8309003936868e-06
"755176 - 777060",0.00598802395209581,0.0119047619047619,0.0154376955485784,0.0138429900899233,0.00159470545865514
"776801 - 779987",0,0,0.000526385448436311,-0.00173149903758177,0.00225788448601808
"780243 - 783375",0,0,6.56565583099891e-06,-0.00209648951603684,0.00210305517186784
"784194 - 786430",0,0,0.00221199086896413,0.00106755380417377,0.00114443706479036
"786700 - 790000",0,0,0.000620334762522414,-0.000995680854396261,0.00161601561691868
"790709 - 793086",0,0,0.000643078514830135,-0.00037399788329864,0.00101707639812878
"793749 - 810923",0.00847457627118644,0.0168067226890756,0.013767122006394,0.0113905839863083,0.00237653802008567
"810171 - 815760",0.0769230769230769,0.142857142857143,0.169379576906285,0.093339781006229,0.0760397959000561
"816141 - 818999",0,0,3.76164567461111e-06,-0.00080330601407095,0.000807067659745561
"819175 - 826740",0.0217391304347826,0.0425531914893617,0.0227425759895548,0.0209677646114921,0.00177481137806275
"829728 - 830676",0,0,0.00592109682542453,0.00353405524110175,0.00238704158432278
"830766 - 832555",0,0,3.84455167495468e-06,-0.00147267051993969,0.00147651507161465
"833620 - 840678",0.0185185185185185,0.0363636363636364,0.0759544024310902,0.0678298827348157,0.00812451969627453
"840757 - 843217",0.0303030303030303,0.0588235294117647,0.200403620745996,0.148010933460271,0.0523926872857252
"843562 - 845169",0,0,0.00241667763610043,-0.00508163220935025,0.00749830984545069
"846888 - 849541",0,0,0.0970256901125681,0.0622087485590094,0.0348169415535587
"849793 - 852242",0.0588235294117647,0.111111111111111,0.175809996348259,0.127347934933548,0.0484620614147114
"852453 - 854447",0,0,0.0372710503645274,0.0246574032275884,0.012613647136939
"854488 - 857207",0,0,0.0976285421876967,0.0675197254314477,0.030108816756249
"854493 - 855667",0,0,0.104545689836112,0.0451858367238468,0.059359853112265
"857875 - 866312",0.0327868852459016,0.0483870967741935,0.188937762984259,0.167049643619296,0.0218881193649634
