"","Wall.B","Wall.Q","Rozas.ZA","Rozas.ZZ","Kelly.Z_nS"
"225227 - 226943",0,0,5.88017943978948e-07,-9.80826894343461e-08,6.86100633413295e-07
"225821 - 227226",0,0,8.82266012281987e-07,0,8.82266012281987e-07
"228159 - 231014",0,0,2.64175223984774e-06,-0.000931459965681692,0.000934101717921539
"230037 - 231763",0,0,4.49247121313432e-06,8.02738494122883e-07,3.68973271901143e-06
"231469 - 234881",0,0,6.06517794925005e-05,-0.000367559986119852,0.000428211765612353
"232330 - 236562",0,0,4.09048634457993e-05,-9.11725318607708e-05,0.00013207739530657
"235266 - 238856",0,0,2.61262687897657e-06,-0.00158650711356794,0.00158911974044691
"239262 - 241179",0,0,1.39934860733179e-05,-0.0298695950749435,0.0298835885610169
"240616 - 245317",0,0,0.000124963958061323,-0.000539542674177382,0.000664506632238705
"241557 - 248411",0,0,0.000117565995133509,-0.000999758741305353,0.00111732473643886
"246768 - 249431",0,0,6.08037172308511e-06,-0.0012122449745242,0.00121832534624728
"248691 - 252115",0,0,2.99406750712785e-05,-0.00540557830558452,0.0054355189806558
"250276 - 253352",0,0,3.27892573347203e-05,-7.92623192141504e-05,0.000112051576548871
"252516 - 254143",0,0,1.76289972414643e-05,3.89399838514537e-06,1.37349988563189e-05
"254523 - 254921",0,0,0.000687511135364277,0.000246370734186692,0.000441140401177586
"255011 - 257735",0,0,0.000468452527613391,0.000312307229513263,0.000156145298100128
"255472 - 264324",0,0,0.000142951180380568,-8.35460546644089e-08,0.000143034726435232
"258508 - 259998",0,0,6.99262202079409e-07,-3.89554272193422e-07,1.08881647427283e-06
"260554 - 263407",0,0,2.54287829749356e-05,8.19536395909712e-06,1.72334190158385e-05
"262911 - 266839",0,0,9.54079271226264e-06,-0.000238011703570077,0.000247552496282339
"264233 - 267884",0,0,1.12856329080554e-05,-0.000308593223156826,0.000319878856064881
"267237 - 268354",0,0,1.17902374779628e-06,-8.36666033812734e-07,2.01568978160901e-06
"268176 - 274697",0,0,1.10291116344115e-05,-0.00170316124677881,0.00171419035841322
"269514 - 272152",0,0,1.79872264718245e-05,-0.0016221253126943,0.00164011253916612
"272320 - 275022",0,0,1.52051474486633e-06,-0.0056483917374594,0.00564991225220426
"275163 - 279995",0,0,4.27073929401748e-06,-0.00157438489291967,0.00157865563221368
"279803 - 283029",0.0303030303030303,0.0588235294117647,0.0303052700409483,0.0258909448488849,0.00441432519206339
"283337 - 289495",0,0,0.000705511066187206,1.04748643181343e-05,0.000695036201869071
"289667 - 290290",0,0,8.82266012281987e-07,0,8.82266012281987e-07
"290954 - 292740",0,0,1.39420995845964e-05,-5.93061310308304e-05,7.32482306154269e-05
"293534 - 297356",0,0,6.47765902738128e-06,-0.00258366780922288,0.00259014546825026
"297359 - 301207",0,0,4.83234105073132e-05,-0.000334916067490198,0.000383239477997511
"300943 - 316691",0.00934579439252336,0.0185185185185185,0.00949408616952561,0.00859710708650733,0.000896979083018282
"317615 - 319552",0.111111111111111,0.2,0.111381952203254,0.0886232909376491,0.0227586612656047
"319592 - 321540",0,0,4.4348496933795e-05,-1.4673506743967e-06,4.58158476081917e-05
"321886 - 325323",0,0,3.13836968489049e-06,-0.00395746652675869,0.00396060489644358
"326603 - 329176",0,0,1.67785948448287e-06,-0.000282669943064159,0.000284347802548641
"328877 - 336810",0,0,0.000871250132057282,-0.000123501319919209,0.000994751451976491
"343913 - 349351",0,0,2.7626255390656e-06,-0.00162293208140956,0.00162569470694863
"351860 - 354337",0,0,0.000205860981657976,-0.00581991719937704,0.00602577818103501
"355724 - 360711",0,0,2.30329767060678e-05,-0.00206028031495003,0.00208331329165609
"360881 - 362238",0,0,3.16893675338587e-06,-2.76399375859019e-06,5.93293051197607e-06
"362243 - 363831",0.0909090909090909,0.166666666666667,0.121180049150356,0.0959372901202303,0.0252427590301257
"363945 - 366461",0,0,1.0536869252967e-05,-0.000254661904978502,0.000265198774231469
"366977 - 369608",0,0,0.0370122792933544,0.0307895971459449,0.0062226821474095
"369068 - 371707",0,0,5.91061340717684e-05,-0.000739855812984373,0.000798961947056142
"372099 - 376865",0,0,3.04801191975591e-06,-6.96239614061063e-07,3.74425153381697e-06
"377740 - 378396",0,0,5.87858373109353e-07,0,5.87858373109353e-07
"378740 - 380796",0,0,1.57634480904257e-06,-0.000648885843555416,0.000650462188364458
"381154 - 381259",0,0,3.83644462357209e-06,-1.67648794349962e-06,5.51293256707171e-06
"382557 - 387277",0,0,1.40706932754958e-05,-0.0023700577609943,0.0023841284542698
"387748 - 389620",0,0,8.37935139948355e-06,-0.000965278696832008,0.000973658048231492
"390047 - 394326",0,0,0.00126109363117508,0.000680665900206669,0.000580427730968408
"390441 - 390508",NA,NA,NA,NA,NA
"391061 - 391145",NA,NA,NA,NA,NA
"391758 - 391840",NA,NA,NA,NA,NA
"392510 - 392712",NA,NA,NA,NA,NA
"395252 - 395336",NA,NA,NA,NA,NA
"396205 - 398339",0.125,0.222222222222222,0.125013179823662,0.0969960418409403,0.028017137982722
"398442 - 399490",0,0,1.22967848421608e-05,-1.04079571801555e-05,2.27047420223162e-05
"400063 - 403317",0,0,0.00103509568493738,-0.00224068455114948,0.00327578023608686
"405087 - 410073",0,0,0.0135286362829577,0.0121514431590025,0.00137719312395515
"409782 - 412622",0,0,0.00894715400410192,0.00663242366150659,0.00231473034259533
"412246 - 420738",0,0,5.35827409741342e-06,-0.00111862975881814,0.00112398803291555
"421374 - 425853",0,0,5.95011200854682e-06,-0.000884706818482557,0.000890656930491104
"425857 - 427801",0,0,2.9376987567591e-07,0,2.9376987567591e-07
"427896 - 430361",0,0,1.68729726600678e-06,-0.00693500481927222,0.00693669211653822
"429897 - 431828",0,0,5.58202144629461e-06,-0.000208062541173531,0.000213644562619825
"431833 - 434308",0,0,8.9745662039758e-06,-0.00119852357960112,0.0012074981458051
"434474 - 436923",0.0476190476190476,0.0909090909090909,0.0476283004015129,0.0431957396413796,0.00443256076013332
"436628 - 438959",0,0,5.87964753689083e-07,1.39738197651341e-08,5.73990933923949e-07
"439250 - 441856",0,0,7.26658351544492e-06,-0.00261993236857933,0.00262719895209477
"442112 - 444385",0,0,2.97102080601493e-06,-4.33190375759685e-06,7.30292456361177e-06
"444782 - 445807",0,0,5.02856871865277e-05,1.61733994192802e-05,3.41122877672475e-05
"445809 - 446947",0,0,1.56289734041048e-05,-5.13439788703323e-06,2.0763371291138e-05
"448912 - 451698",0,0,0.0221171793083361,0.0199507492974259,0.00216643001091019
"451922 - 455003",0,0,7.09300643667787e-05,-0.00148242713029255,0.00155335719465933
"455313 - 457030",0,0,1.59496763664878e-06,-1.04095820877829e-06,2.63592584542707e-06
"457356 - 459438",0,0,0.00016685557737529,-0.00774896030713837,0.00791581588451366
"459454 - 461568",0,0,2.00440942642414e-06,-0.00908612789439639,0.00908813230382281
"461766 - 469974",0,0,0.000112855915377491,-0.00119831748257238,0.00131117339794987
"470541 - 471608",0,0,1.53041023888968e-06,2.15984085749944e-07,1.31442615313974e-06
"471687 - 474753",0,0,2.95631952283033e-05,-0.000772100812309097,0.0008016640075374
"475347 - 476522",0,0,3.26313745136032e-05,-0.00037734970033274,0.000409981074846343
"476989 - 478637",0,0,0.0152428282032097,0.0135989564326698,0.00164387177053991
"478651 - 481414",0,0,0.000708106543985386,0.000401870825219703,0.000306235718765683
"481830 - 485831",0,0,0.00595935747641764,0.00493831692594327,0.00102104055047437
"486329 - 487666",0,0,0.000417028945230447,-4.05232111334854e-05,0.000457552156363932
"487814 - 490238",0,0,1.95953632791986e-05,-1.99047207626722e-05,3.95000840418708e-05
"491069 - 510781",0.0037037037037037,0.00738007380073801,0.00413143734631378,0.0026565240463773,0.00147491329993649
"510703 - 516323",0,0,1.93025073217273e-05,-0.000118668120770047,0.000137970628091775
"516403 - 518420",0,0,4.707105100351e-05,7.02025401986563e-06,4.00507969836443e-05
"518688 - 520690",0,0,2.82014696206203e-06,-0.0168165677850521,0.0168193879320141
"521020 - 522963",0,0,2.50471245690256e-05,-0.00980265022041796,0.00982769734498698
"523510 - 526869",0,0,3.57650026080492e-05,-0.00345604959859397,0.00349181460120202
"526884 - 529092",0,0,0.00516147024975613,-0.00819902220817963,0.0133604924579358
"529103 - 530687",0,0,4.9144410643873e-05,-0.000325063791940067,0.00037420820258394
"530740 - 533858",0,0,4.92985944252734e-06,-0.000349600981893587,0.000354530841336114
"534973 - 536499",0,0,5.33985450023843e-05,-0.000407385305682755,0.000460783850685139
"537647 - 538297",0,0,1.36839111711161e-05,0,1.36839111711161e-05
"539792 - 542025",0,0,2.99458890269231e-06,-4.17814211183265e-06,7.17273101452496e-06
"542108 - 546077",0,0,1.23066577680818e-05,-2.61943380313196e-05,3.85009957994015e-05
"546632 - 546979",NA,NA,NA,NA,NA
"547383 - 549296",0,0,1.47342259582184e-06,2.17878703816587e-07,1.25554389200526e-06
"549849 - 551943",0,0,3.11385032194944e-06,-0.000315684506674916,0.000318798356996866
"552259 - 553266",0,0,9.29849675129364e-06,-0.00077538137836341,0.000784679875114703
"553917 - 559114",0,0,3.49487566145036e-06,-0.00183172886927518,0.00183522374493663
"558924 - 561433",0,0,6.65566573639154e-06,-0.0072456183018514,0.00725227396758779
"561660 - 569505",0,0,0.00150640533556233,-1.99769565332652e-05,0.00152638229209559
"569509 - 570889",0,0,0.0129170846298642,0.00968645361809733,0.00323063101176686
"570914 - 573409",0,0,0.00523748382373649,0.00450168680470277,0.000735797019033724
"574690 - 580622",0.0444444444444444,0.0652173913043478,0.0444535207089539,0.0415596562125062,0.00289386449644766
"580697 - 583509",0,0,8.5292099066393e-07,-2.71420325435177e-09,8.55635193918282e-07
"785247 - 791068",0,0,0.016552237051727,0.0134002067696269,0.00315203028210011
"792877 - 793449",NA,NA,NA,NA,NA
"795157 - 795318",0,0,1.76548892868713e-06,0,1.76548892868713e-06
"796233 - 797465",0,0,9.10896903383658e-06,-0.000106845968480405,0.000115954937514241
"798304 - 799611",0,0,2.84182197332456e-06,-2.08469853248289e-06,4.92652050580745e-06
"801760 - 804675",0,0,0.00696051868073353,0.00611835553628921,0.000842163144444319
"807101 - 816204",0,0,0.0614067620378126,0.0547174613671554,0.00668930067065715
"816430 - 819402",0,0,0.000404287444295559,-0.00150070631726795,0.00190499376156351
"818360 - 819893",1,1,1.00000000000009,0,1.00000000000009
"820586 - 822198",0,0,5.80337735133281e-06,-0.00106149869524056,0.00106730207259189
"822958 - 827712",0,0,1.77991502048375e-05,-0.000815954240571279,0.000833753390776117
"830802 - 833569",0,0,2.78882424706926e-06,-1.70120303520344e-07,2.9589445505896e-06
"836836 - 845991",0,0,1.30433647918245e-05,-0.00150697721308772,0.00152002057787954
"846961 - 849446",0,0,1.33907113916616e-05,7.85941817738727e-07,1.26047695739228e-05
"849634 - 850735",0,0,3.32800226677458e-06,9.92083146888941e-07,2.33591911988563e-06
"850987 - 855507",0,0,1.87390437734545e-06,-0.0010007783304624,0.00100265223483975
"856817 - 859199",0,0,8.9311349267439e-06,-0.003775590787331,0.00378452192225774
"859958 - 863117",0,0,3.33595422636343e-05,-5.0502056773999e-05,8.38615990376333e-05
"863593 - 865537",0,0,1.6713085480101e-05,-0.000259569485540503,0.000276282571020604
"865726 - 868762",0,0,2.19224980680551e-06,-4.29209866221642e-05,4.51132364289697e-05
"868784 - 872311",0,0,7.52905796426472e-06,-0.00189803609824147,0.00190556515620573
"871737 - 876247",0,0,4.8024705414468e-05,-0.000605391468417223,0.000653416173831691
"876916 - 878625",0,0,1.78660881360441e-05,1.87775611862509e-06,1.5988332017419e-05
"879217 - 882762",0,0,0.0050373377435215,0.00448496057506503,0.00055237716845647
"881970 - 882114",NA,NA,NA,NA,NA
"882766 - 886332",0,0,1.5723246921676e-05,-0.00324758613977988,0.00326330938670155
"888822 - 898655",0,0,2.16557252917658e-05,-0.000786109366252007,0.000807765091543773
"898838 - 903247",0,0,1.02935368815826e-05,-0.00237999111117051,0.0023902846480521
"906714 - 914983",0,0,0.000363497877861534,-0.00174647516746459,0.00210997304532612
"918280 - 920560",0,0,0.000149208010904286,2.63093478228987e-05,0.000122898663081387
"919948 - 922798",0,0,0.000149428776740809,-4.35461067007819e-05,0.000192974883441591
"923314 - 925896",0,0,1.16303334406046e-05,-0.00042449290270234,0.000436123236142945
"925090 - 926708",0,0,0.000116312655443658,-0.00279628709974164,0.0029125997551853
"927063 - 930026",0,0,4.00136826333791e-06,-0.000380451356983008,0.000384452725246345
"932071 - 934404",0,0,6.45170528761656e-06,3.14732413301052e-06,3.30438115460604e-06
"934432 - 938673",0,0,1.27475018457998e-05,-0.000305088645726144,0.000317836147571944
"939816 - 947433",0.0238095238095238,0.0465116279069767,0.0253626476734478,0.0232509102664137,0.00211173740703401
"946864 - 961465",0,0,0.000616424386946332,-0.000570698227253664,0.0011871226142
"962262 - 968275",0,0,5.88115297165682e-05,-0.00105375548794366,0.00111256701766023
"968562 - 970710",0.1,0.181818181818182,0.100041833523023,0.0816846952014117,0.0183571383216115
"971186 - 972341",0,0,0.000228867566996047,8.36138307220348e-05,0.000145253736274012
"972357 - 973920",0,0,1.45705618385292e-05,-0.000204044984960459,0.000218615546798988
"974226 - 976097",0,0,7.46851903513112e-05,-5.28338710406178e-05,0.000127519061391929
"975744 - 979052",0,0,1.18954138525328e-05,-0.000187724546287023,0.000199619960139556
"981063 - 984811",0,0,0.000359093453997692,0.000224881843551114,0.000134211610446578
"985545 - 993212",0,0,0.00449127508895238,0.00343134726839504,0.00105992782055734
"993227 - 996884",0,0,2.08343211760992e-05,-0.00109495020489407,0.00111578452607017
"997441 - 1000427",0,0,0.00088955337682055,0.00061625452718169,0.00027329884963886
"1000407 - 1002443",0,0,0.00209512737850456,0.00124862324769741,0.000846504130807148
"1002756 - 1008521",0.05,0.0952380952380952,0.131888656218556,0.111916710113917,0.0199719461046394
"1008635 - 1010588",0,0,0.00180919168738489,7.99691697048245e-05,0.00172922251768006
"1010680 - 1011767",0,0,1.02708546020894e-05,-0.000161237544016199,0.000171508398618289
"1012310 - 1017848",0,0,0.00014532942972431,-0.00177709590333451,0.00192242533305882
"1018351 - 1024017",0,0,0.00832754626055698,0.00528303568384936,0.00304451057670762
"1024322 - 1028668",0,0,3.96394222606137e-06,-0.000392718788652134,0.000396682730878196
"1029020 - 1031737",0,0,7.07874158806343e-06,-0.00316209005685314,0.0031691687984412
"1031628 - 1032790",0,0,4.73884520291784e-06,0,4.73884520291784e-06
"1033173 - 1035379",0,0,0.0249618178522244,0.022023141220303,0.00293867663192148
"1034857 - 1038418",0.04,0.0769230769230769,0.0403753744490004,0.0371155517238201,0.00325982272518026
"1038977 - 1044259",0.0212765957446809,0.0416666666666667,0.0212995536323919,0.0190827973183157,0.00221675631407623
"1044957 - 1050130",0,0,0.038076732987231,0.0321940217974958,0.00588271118973523
"1050169 - 1053192",0,0,7.55973124717856e-05,-0.000499189257350746,0.000574786569822531
"1053194 - 1056616",0,0,0.00336774447256088,0.00229070508631919,0.00107703938624169
"1057390 - 1059654",0,0,0.000471144098298191,-0.00065882420211018,0.00112996830040837
"1059280 - 1064008",0,0,0.0047346762396637,0.00161936526755196,0.00311531097211174
"1062718 - 1063072",0,0,4.12843441518614e-06,0,4.12843441518614e-06
"1063077 - 1064882",0,0,3.10993502297341e-06,-0.000709288578871356,0.00071239851389433
"1064286 - 1066800",0,0,2.30333073218187e-06,-0.00833488087876714,0.00833718420949932
"1064993 - 1067053",0,0,2.63403634717359e-06,-0.0128227164116676,0.0128253504480148
"1067055 - 1071027",0.05,0.0952380952380952,0.0500122628617544,0.0448996322970116,0.00511263056474278
"1067269 - 1071520",0.05,0.0952380952380952,0.0500122628617544,0.0448996322970116,0.00511263056474278
"1071718 - 1074209",0,0,5.89044799655736e-06,9.71892695046568e-07,4.91855530151079e-06
"1072459 - 1076976",0,0,0.0378668523071921,0.032947670735953,0.00491918157123916
"1074626 - 1076405",0,0,1.11482029850573e-05,-0.000350459478413265,0.000361607681398322
"1076956 - 1082092",0,0,4.29377854294806e-06,-0.000596362248260833,0.000600656026803781
"1077568 - 1079040",0,0,7.0059952370974e-06,-2.17832194222844e-05,2.87892146593818e-05
"1079971 - 1083396",0,0,9.60103688015854e-06,-2.35447841980608e-05,3.31458210782194e-05
"1083321 - 1086048",0,0,0.000328802128037887,-0.000794487919176098,0.00112329004721398
"1083776 - 1087560",0,0,0.0003563210505344,-0.000555936912401726,0.000912257962936126
"1086660 - 1093283",0,0,3.18474074454447e-05,-0.00118894123819073,0.00122078864563618
"1088291 - 1090085",0,0,2.3291387691702e-06,-9.57132905394952e-07,3.28627167456515e-06
"1091142 - 1092853",0,0,0.000465097639219602,5.2473306677073e-06,0.000459850308551894
"1092884 - 1096419",0,0,2.17805830253813e-06,-0.00735409139720541,0.00735626945550795
"1094357 - 1096486",0,0,1.80175428510202e-06,-9.57478316290551e-07,2.75923260139258e-06
"1096720 - 1097745",0,0,4.44024101623025e-06,0,4.44024101623025e-06
"1097031 - 1105221",0,0,0.00985640740462576,0.00831840373182576,0.00153800367280001
"1097880 - 1103771",0,0,7.53566587820879e-06,-0.000664843946196159,0.000672379612074368
"1104154 - 1107028",0,0,0.0571850232967175,0.0437725339815377,0.0134124893151797
"1105251 - 1108739",0,0,0.000501551086318537,-0.000127078810677379,0.000628629896995917
"1107772 - 1110152",0,0,0.000142397811032732,9.31880238419666e-05,4.92097871907653e-05
"1108744 - 1112924",0,0,7.60569070967591e-06,-0.000185403259604544,0.00019300895031422
"1110057 - 1112485",0,0,6.58133897518641e-06,-1.04893065975748e-06,7.63026963494389e-06
"1112700 - 1115761",0,0,0.00160139750668634,0.00116135650723347,0.000440040999452866
"1117049 - 1120693",0,0,0.0039122097615956,0.00247855681440278,0.00143365294719282
"1120716 - 1123490",0,0,2.42059975520401e-05,-0.00869385798642719,0.00871806398397923
"1124682 - 1128048",0,0,1.13508847914199e-05,-0.00100337074570924,0.00101472163050066
"1128223 - 1131206",0,0,7.32204016977901e-06,5.07417831784224e-07,6.81462233799479e-06
"1131284 - 1137072",0,0,0.0070941560872188,0.00618358502140667,0.000910571065812127
"1137082 - 1140631",0,0,2.75787639721998e-06,-9.00192794686242e-05,9.27771558658442e-05
"1141454 - 1144631",0,0,2.36848181362141e-05,-2.10809853665269e-05,4.4765803502741e-05
"1144744 - 1148981",0,0,5.64900363129766e-06,-0.000122022711907667,0.000127671715538965
"1148926 - 1151585",0,0,2.93113145166015e-05,-0.000105337411144195,0.000134648725660797
"1151788 - 1154689",0,0,4.72828269476551e-06,-0.00386730838503799,0.00387203666773276
"1155616 - 1158343",0,0,1.92694524475244e-05,-0.000108147175505337,0.000127416627952861
"1158440 - 1162440",0,0,3.33966065301912e-06,-4.10830396954334e-05,4.44227003484525e-05
"1162731 - 1164039",0,0,0.000244420667237975,0,0.000244420667237975
"1163768 - 1167334",0,0,4.93922158282097e-05,-5.67764648512703e-05,0.00010616868067948
"1166588 - 1166687",NA,NA,NA,NA,NA
"1166812 - 1166914",0,0,4.48041811960037e-05,1.22764024182204e-05,3.25277787777833e-05
"1168333 - 1171161",0,0,1.69324657622446e-06,-6.35457887377938e-07,2.3287044636024e-06
"1171260 - 1176260",0,0,1.6823642353596e-05,-0.000180777629919497,0.000197601272273093
"1176282 - 1180695",0.0208333333333333,0.0408163265306122,0.0243035140041176,0.0225222510039941,0.0017812630001235
"1179639 - 1185871",0,0,0.0181551290108768,0.0165654801812002,0.00158964882967658
"1187604 - 1189562",0,0,2.31326106577122e-05,-0.000410106805700177,0.000433239416357889
"1190118 - 1194394",0,0,6.43043663761044e-06,-0.00214674137068981,0.00215317180732742
"1193687 - 1195036",0,0,5.06851178917716e-05,1.27115213832635e-05,3.79735965085081e-05
"1195469 - 1198419",0,0,1.137163569163e-05,-0.00167346750431037,0.001684839140002
"1199053 - 1202149",0,0,1.03166251471526e-05,-3.93123105843634e-05,4.9628935731516e-05
"1201675 - 1204113",0,0,2.65357086315475e-06,-0.000171843764022437,0.000174497334885592
"1204242 - 1210151",0.015625,0.0307692307692308,0.0158000815229249,0.0146551841368158,0.00114489738610909
"1210686 - 1211456",0,0,6.08473044098532e-06,-1.07888598750401e-05,1.68735903160254e-05
"1216521 - 1224812",0,0,0.000284576016800424,-0.00088761498688853,0.00117219100368895
"1225688 - 1226474",0,0,1.17667365089824e-06,9.81358795387523e-08,1.07853777135949e-06
"1226559 - 1233099",0,0,4.6068467597268e-06,-0.00159844631735464,0.00160305316411437
"1234061 - 1236391",0,0,7.56986998639283e-06,-0.00399332406737358,0.00400089393735998
"1239829 - 1242921",0,0,0.000418436865843296,0.000292873231974668,0.000125563633868628
"1243226 - 1246618",0.0277777777777778,0.0540540540540541,0.0278481355940407,0.0247388065864052,0.00310932900763549
"1248292 - 1251089",0,0,3.03043574475822e-05,-2.5256658156108e-05,5.55610156036902e-05
"1251966 - 1253902",0,0,2.87520285851456e-06,-9.30829095687193e-07,3.80603195420175e-06
"1254662 - 1260426",0,0,1.15705010075348e-05,-8.27995533812503e-05,9.43700543887851e-05
"1261759 - 1266078",0.0138888888888889,0.0273972602739726,0.0143416385179512,0.013089395463174,0.00125224305477724
"1265900 - 1267995",0,0,3.28421319442979e-06,-7.96649047333505e-06,1.12507036677648e-05
"1268410 - 1270016",0,0,0.000560500176428212,0.000376850632261622,0.000183649544166591
"1270935 - 1273096",0,0,0.018157698471015,0.0150984933463106,0.00305920512470441
"1273208 - 1275484",0,0,6.41760074907834e-06,-0.0121133288668377,0.0121197464675867
"1275535 - 1276542",0,0,0.0213842302671119,0.0132583858351243,0.00812584443198753
"1276697 - 1281158",0.0227272727272727,0.0444444444444444,0.0227420759168431,0.0193260195775634,0.0034160563392797
"1280823 - 1288093",0.0144927536231884,0.0285714285714286,0.0145020071759009,0.0122096045752179,0.00229240260068301
"1289824 - 1292127",0,0,1.68633010079056e-05,-3.92782871578066e-06,2.07911297236863e-05
"1292966 - 1296696",0,0,0.0390854627845584,0.0288769044157685,0.0102085583687899
"1296801 - 1298199",0,0,1.61388204484432e-05,3.85681488206759e-06,1.22820055663756e-05
"1298301 - 1300611",0.15,0.19047619047619,0.150021104652035,0.130955858418254,0.0190652462337804
"1301308 - 1307797",0.0263157894736842,0.0512820512820513,0.0264657151838126,0.0229300018779058,0.00353571330590689
"1308312 - 1312020",0,0,3.09803657861335e-06,-0.00315521167318738,0.00315830970976599
"1312734 - 1317676",0,0,7.89533603045876e-05,-0.00131329579194098,0.00139224915224557
"1318721 - 1322792",0,0,0.00211425335838322,-0.00295717092322015,0.00507142428160337
"1322407 - 1325617",0,0,0.000306254884879274,0.000142682032936679,0.000163572851942595
