"","Hudson.Kaplan.RM"
"343913 - 349351",3
"351860 - 354337",4
"355724 - 360711",4
"360881 - 362238",0
"362243 - 363831",0
"363945 - 366461",1
"366977 - 369608",3
"369068 - 371707",2
"372099 - 376865",0
"377740 - 378396",0
"378740 - 380796",1
"381154 - 381259",0
"382557 - 387277",4
"387748 - 389620",1
"390047 - 394326",1
"390441 - 390508",NA
"391061 - 391145",NA
"391758 - 391840",NA
"392510 - 392712",NA
"395252 - 395336",NA
"396205 - 398339",1
"398442 - 399490",0
"400063 - 403317",6
"405087 - 410073",6
"409782 - 412622",2
"412246 - 420738",2
"421374 - 425853",2
"425857 - 427801",0
"427896 - 430361",2
"429897 - 431828",1
"431833 - 434308",2
"434474 - 436923",1
"436628 - 438959",0
"439250 - 441856",1
"442112 - 444385",0
"444782 - 445807",0
"445809 - 446947",0
"448912 - 451698",2
"451922 - 455003",1
"455313 - 457030",0
"457356 - 459438",3
"459454 - 461568",0
"461766 - 469974",10
"470541 - 471608",0
"471687 - 474753",2
"475347 - 476522",2
"476989 - 478637",2
"478651 - 481414",3
"481830 - 485831",6
"486329 - 487666",1
"487814 - 490238",1
"491069 - 510781",26
"510703 - 516323",1
"516403 - 518420",0
"518688 - 520690",0
"521020 - 522963",2
"523510 - 526869",2
"526884 - 529092",3
"529103 - 530687",1
"530740 - 533858",0
"534973 - 536499",2
"537647 - 538297",0
"539792 - 542025",0
"542108 - 546077",1
"546632 - 546979",NA
"547383 - 549296",0
"549849 - 551943",1
"552259 - 553266",1
"553917 - 559114",1
"558924 - 561433",0
"561660 - 569505",8
"569509 - 570889",0
"570914 - 573409",2
"574690 - 580622",5
"580697 - 583509",0
"785247 - 791068",3
"792877 - 793449",0
"795157 - 795318",0
"796233 - 797465",0
"798304 - 799611",0
"801760 - 804675",0
"807101 - 816204",2
"816430 - 819402",1
"818360 - 819893",0
"820586 - 822198",0
"822958 - 827712",3
"830802 - 833569",0
"836836 - 845991",4
"846961 - 849446",0
"849634 - 850735",0
"850987 - 855507",1
"856817 - 859199",2
"859958 - 863117",2
"863593 - 865537",1
"865726 - 868762",1
"868784 - 872311",0
"871737 - 876247",1
"876916 - 878625",0
"879217 - 882762",2
"881970 - 882114",NA
"882766 - 886332",2
"888822 - 898655",4
"898838 - 903247",4
"906714 - 914983",5
"918280 - 920560",1
"919948 - 922798",1
"923314 - 925896",1
"925090 - 926708",0
"927063 - 930026",1
"932071 - 934404",0
"934432 - 938673",2
"939816 - 947433",8
"946864 - 961465",10
"962262 - 968275",4
"968562 - 970710",1
"971186 - 972341",2
"972357 - 973920",1
"974226 - 976097",0
"975744 - 979052",2
"981063 - 984811",2
"985545 - 993212",9
"993227 - 996884",0
"997441 - 1000427",2
"1000407 - 1002443",1
"1002756 - 1008521",8
"1008635 - 1010588",5
"1010680 - 1011767",1
"1012310 - 1017848",7
"1018351 - 1024017",14
"1024322 - 1028668",1
"1029020 - 1031737",0
"1031628 - 1032790",0
"1033173 - 1035379",0
"1034857 - 1038418",2
"1038977 - 1044259",3
"1044957 - 1050130",1
"1050169 - 1053192",5
"1053194 - 1056616",2
"1057390 - 1059654",0
"1059280 - 1064008",3
"1062718 - 1063072",0
"1063077 - 1064882",1
"1064286 - 1066800",0
"1064993 - 1067053",0
"1067055 - 1071027",2
"1067269 - 1071520",2
"1071718 - 1074209",0
"1072459 - 1076976",2
"1074626 - 1076405",0
"1076956 - 1082092",4
"1077568 - 1079040",2
"1079971 - 1083396",1
"1083321 - 1086048",1
"1083776 - 1087560",4
"1086660 - 1093283",3
"1088291 - 1090085",0
"1091142 - 1092853",1
"1092884 - 1096419",0
"1094357 - 1096486",0
"1096720 - 1097745",0
"1097031 - 1105221",3
"1097880 - 1103771",3
"1104154 - 1107028",3
"1105251 - 1108739",3
"1107772 - 1110152",2
"1108744 - 1112924",3
"1110057 - 1112485",0
"1112700 - 1115761",2
"1117049 - 1120693",4
"1120716 - 1123490",0
"1124682 - 1128048",2
"1128223 - 1131206",0
"1131284 - 1137072",4
"1137082 - 1140631",1
"1141454 - 1144631",1
"1144744 - 1148981",3
"1148926 - 1151585",1
"1151788 - 1154689",1
"1155616 - 1158343",2
"1158440 - 1162440",1
"1162731 - 1164039",0
"1163768 - 1167334",2
"1166588 - 1166687",NA
"1166812 - 1166914",0
"1168333 - 1171161",0
"1171260 - 1176260",2
"1176282 - 1180695",4
"1179639 - 1185871",5
"1187604 - 1189562",2
"1190118 - 1194394",3
"1193687 - 1195036",0
"1195469 - 1198419",3
"1199053 - 1202149",1
"1201675 - 1204113",1
"1204242 - 1210151",8
"1210686 - 1211456",0
"1216521 - 1224812",7
"1225688 - 1226474",0
"1226559 - 1233099",3
"1234061 - 1236391",2
"1239829 - 1242921",1
"1243226 - 1246618",2
"1248292 - 1251089",1
"1251966 - 1253902",0
"1254662 - 1260426",2
"1261759 - 1266078",9
"1265900 - 1267995",0
"1268410 - 1270016",0
"1270935 - 1273096",1
"1273208 - 1275484",0
"1275535 - 1276542",2
"1276697 - 1281158",3
"1280823 - 1288093",6
"1289824 - 1292127",0
"1292966 - 1296696",22
"1296801 - 1298199",0
"1298301 - 1300611",1
"1301308 - 1307797",4
"1308312 - 1312020",0
"1312734 - 1317676",6
"1318721 - 1322792",3
"1322407 - 1325617",3
"1326228 - 1332808",5
"1333076 - 1340271",5
"1340325 - 1342250",0
"1343384 - 1349822",5
"1350158 - 1358171",7
"1358907 - 1364530",3
"1367023 - 1368903",0
"1369619 - 1371667",0
"1371743 - 1374175",0
"1374293 - 1377710",4
"1380567 - 1382594",0
"1384340 - 1385924",0
"1387091 - 1388909",0
"1389211 - 1396929",9
"1396148 - 1397044",0
"1397248 - 1398391",0
"1398462 - 1401319",1
"1403727 - 1414748",7
"1415406 - 1417214",0
"1417279 - 1420432",0
"1421786 - 1426832",0
"1426876 - 1431677",2
"1431881 - 1435170",1
"1440742 - 1445784",4
"1446063 - 1449550",3
"1449075 - 1453801",3
"1455197 - 1460871",4
"1461301 - 1461498",0
"1461487 - 1463111",0
"1463149 - 1465573",3
"1465889 - 1469381",5
"1470103 - 1472480",1
"1472839 - 1474438",0
"1474667 - 1476838",1
"1477643 - 1479850",0
"1480900 - 1481526",0
"1483375 - 1485858",3
"1486652 - 1496398",5
"1496635 - 1498092",0
"1498115 - 1499068",0
"1498612 - 1499571",0
"1499574 - 1500253",0
"1500670 - 1514612",14
"1517580 - 1521643",1
"1521810 - 1524748",0
"1525654 - 1532527",4
"1532674 - 1540545",6
"1540804 - 1544163",2
"1545416 - 1553962",5
"1553848 - 1555709",0
"1556447 - 1565469",11
"1569604 - 1573189",1
"1576132 - 1578978",3
"1580594 - 1582483",1
"1582539 - 1585322",2
"1585329 - 1592079",5
"1593266 - 1595319",1
"1595767 - 1597718",1
"1597769 - 1600089",0
"1600448 - 1603560",1
"1604250 - 1607491",0
"1607519 - 1608723",0
"1610100 - 1615809",2
"1615976 - 1622355",5
"1622360 - 1632547",6
"1633071 - 1636567",2
"1636768 - 1643539",15
"1644911 - 1647382",3
"1649321 - 1657012",8
"1657118 - 1658339",0
"1658390 - 1663036",2
"1663373 - 1665749",0
"1665761 - 1668162",0
"1668302 - 1669090",0
"1669907 - 1671894",0
"1672402 - 1675566",0
"1676182 - 1677783",2
"1678820 - 1681377",1
"1681435 - 1692161",10
"1692791 - 1694345",0
"1694889 - 1701865",7
"1701397 - 1703791",0
"1705435 - 1706918",0
"1707861 - 1709391",0
"1709869 - 1712608",4
"1713070 - 1714304",0
"1714779 - 1717145",1
"1717415 - 1718905",0
"1718938 - 1725224",5
"1728890 - 1731885",1
"1731176 - 1734347",1
"1733903 - 1736776",0
"1736787 - 1740230",3
"1740858 - 1742152",0
"1742517 - 1746755",5
"1747226 - 1751441",3
"1751384 - 1753416",2
"1754466 - 1756072",0
"1756482 - 1757258",0
"1757488 - 1759205",0
"1759227 - 1760663",0
"1762256 - 1766650",4
"1767459 - 1769954",2
"1770414 - 1772184",0
"1772009 - 1774198",1
"1774605 - 1776787",1
"1777078 - 1779609",0
"1780084 - 1782733",1
"1782875 - 1787222",0
"1788846 - 1798269",6
"1798297 - 1799944",0
"1800111 - 1804509",2
"1807031 - 1810365",4
"1810090 - 1812833",3
"1812871 - 1814731",2
"1814738 - 1818029",8
"1818370 - 1820937",1
"1820807 - 1823494",1
"1823963 - 1826025",0
"1826113 - 1826839",0
"1828240 - 1829054",0
"1830464 - 1831417",1
"1832152 - 1839819",4
"1839423 - 1842878",2
"1843205 - 1854563",6
"1855488 - 1857930",0
"1858329 - 1867357",10
"1870415 - 1871077",0
"1872795 - 1881752",7
"1882167 - 1888573",7
"1888273 - 1889408",0
"1889494 - 1892695",5
"1893348 - 1896529",2
"1896443 - 1898242",0
"1899181 - 1905942",3
"1906472 - 1908483",0
"1908678 - 1914041",7
"1916392 - 1918050",0
"1920268 - 1920811",NA
"1922656 - 1922928",NA
"1925995 - 1928144",0
"1928510 - 1928677",NA
"1928934 - 1933138",0
"1933278 - 1937217",5
"1940627 - 1942588",1
"1944702 - 1946935",1
"1948696 - 1969412",9
"1970810 - 1974642",2
"1975705 - 1980325",9
"1982068 - 1984327",3
"1985056 - 1987411",15
"2000342 - 2003996",17
