"region","TajD","S","theta_W","theta_pi","recomb"
"224779 - 231733",-1.97790307933572,35,4.3222036344874,0.838453023750172,6
"232342 - 233735",-1.65291426618515,9,1.11142379172533,0.110957846306524,0
"233990 - 237708",-1.89901012935892,11,1.35840685655318,0.0313723072225305,0
"238360 - 239499",-1.58927321729123,6,0.740949194483554,0.0108260150857197,0
"240911 - 242347",-1.94437563720057,27,3.33427137517599,0.587941994262846,2
"244986 - 260286",-2.37602841923595,117,14.4485092924293,1.86294368252458,15
"259944 - 263782",-2.33327924515255,31,3.8282375048317,0.12488908854419,0
"264062 - 266503",-2.32889237795097,30,3.70474597241777,0.109950174257972,1
"266566 - 268913",-1.67898459703408,7,0.86444072689748,0.00974846368181992,0
"268919 - 271537",-1.27445688836206,4,0.493966129655703,0.0416592529955635,0
"271572 - 277979",-2.10402561481051,37,4.56918669931525,0.680439946327957,6
"277684 - 281983",-1.45207233122164,40,4.93966129655703,2.06683696089399,9
"282403 - 288297",-2.37200223092383,63,7.77996654207732,0.729063645999407,6
"290361 - 301167",-1.75977742845008,95,11.7316955793229,4.07545678490371,23
"301259 - 302267",-1.9693352179868,15,1.85237298620889,0.116999768047518,2
"302892 - 305696",-1.90771069191919,14,1.72888145379496,0.133993370269564,0
"305485 - 313556",-1.67141371062736,52,6.42155968552414,2.2467757136943,9
"315105 - 315919",-1.54056522224218,8,0.987932259311406,0.128934457275234,1
"315974 - 319564",-2.26395107356173,36,4.44569516690133,0.359714845252461,3
"320299 - 322945",-0.275228259094558,25,3.08728831034814,2.72266997859578,10
"322950 - 325688",-2.06159928244975,30,3.70474597241777,0.522534330435395,6
"328473 - 330639",-1.72722330735337,8,0.987932259311406,0.0248564977524098,0
"331524 - 334219",-2.34027503660466,34,4.19871210207347,0.178485966874837,1
"333546 - 345127",-2.52542676247758,112,13.8310516303597,0.997090904820207,7
"346308 - 346727",-1.22916686195866,8,0.987932259311406,0.302565864228523,0
"347345 - 352121",-2.2216212079929,26,3.21077984276207,0.170169149145446,0
"351527 - 353137",-1.77736342615153,9,1.11142379172533,0.0356320117914072,0
"353655 - 359878",-2.21717369411425,23,2.84030524552029,0.0979467801178553,0
"360382 - 361906",-1.98028542376065,14,1.72888145379496,0.0733192987401163,0
"361974 - 364336",-2.1729148061418,23,2.84030524552029,0.15268932754333,1
"363313 - 365044",-2.13711062301424,19,2.34633911586459,0.0809173573859249,0
"365916 - 367353",-1.58007380629542,16,1.97586451862281,0.512463482164616,1
"367527 - 368741",-1.61116308915237,8,0.987932259311406,0.0895700657981661,1
"369885 - 371270",-1.66413947853576,7,0.86444072689748,0.0173054168244824,0
"373039 - 376677",-1.17030140939563,45,5.55711895862666,2.98824793665055,13
"376962 - 383799",-2.11606019848698,51,6.29806815311021,1.10410321004618,6
"384240 - 391362",-2.26092720376085,38,4.69267823172918,0.415775704885976,3
"390866 - 394044",-2.18286639549832,32,3.95172903724562,0.391973269678526,3
"394047 - 394714",-1.20966720613211,3,0.370474597241777,0.00972614926582635,0
"396410 - 401290",-2.20460312063062,27,3.33427137517599,0.220384219010121,2
"401320 - 403441",-0.317882676709494,14,1.72888145379496,1.46312454673843,4
"403032 - 405486",-1.83029678621262,10,1.23491532413926,0.0410091988243826,0
"405513 - 408243",-1.08551474212457,3,0.370474597241777,0.0467510503924107,0
"408485 - 411102",-1.30689207690312,4,0.493966129655703,0.0301479504502521,0
"413403 - 416357",-1.83057789294928,35,4.3222036344874,1.09794208234607,5
"417372 - 420824",-2.302509124019,27,3.33427137517599,0.0820970853262162,1
"422011 - 422958",-0.840800254177682,4,0.493966129655703,0.195564716210542,1
"424078 - 427891",-1.79311916964781,11,1.35840685655318,0.105369259543083,0
"427283 - 435517",-2.2896925665994,49,6.05108508828236,0.62888131373188,5
"435640 - 438373",-1.19185108723081,11,1.35840685655318,0.52553738105095,2
"438826 - 440791",-1.40500810963313,6,0.740949194483554,0.0954786882646725,1
"440536 - 445079",-2.17466646725606,19,2.34633911586459,0.0411066775889861,0
"445327 - 448141",-2.04577968581517,18,2.22284758345066,0.1452380742659,0
"448569 - 450669",NA,NA,NA,NA,NA
"451590 - 456137",-2.36913623351099,39,4.8161697641431,0.231761635059471,2
"456470 - 458157",-1.88060198280596,11,1.35840685655318,0.0442359808213467,0
"458379 - 462772",-1.8467439801192,10,1.23491532413926,0.0302806625032664,0
"461577 - 464007",-1.89404568404367,12,1.48189838896711,0.0710678916106604,0
"464039 - 468171",-1.6530819326573,20,2.46983064827851,0.644170212016313,3
"469218 - 469299",NA,NA,NA,NA,NA
"469858 - 469930",-0.753035048004359,1,0.123491532413926,0.00216567279432274,0
"470021 - 473920",-1.92217659482905,51,6.29806815311021,1.57999923661208,8
"474132 - 475694",-1.23138222053435,3,0.370474597241777,0.00325027085590466,0
"475944 - 476585",-0.759752260332563,1,0.123491532413926,0.00108342361863489,0
"478964 - 481141",-1.65151149029697,17,2.09935605103674,0.495839242249411,2
"480653 - 485264",-2.07551979122324,33,4.07522056965955,0.60013036316712,4
"484937 - 489959",-2.42512728393559,46,5.68061049104058,0.252375457665736,4
"490388 - 494260",-2.00714384766409,18,2.22284758345066,0.184475038683215,1
"498831 - 503922",-1.58022580304091,49,6.05108508828236,2.30896422940394,12
"504413 - 505095",-1.02446444270625,2,0.246983064827851,0.00541007143549225,0
"505544 - 509792",-2.22758290189294,26,3.21077984276207,0.162009706770957,1
"510180 - 512923",-2.04943627743618,31,3.8282375048317,0.57540070525299,7
"513083 - 517579",-2.02575901862214,35,4.3222036344874,0.754162666220378,5
"517722 - 517793",NA,NA,NA,NA,NA
"518154 - 518225",-1.57284941584907,6,0.740949194483554,0.0183712237989119,0
"518685 - 519101",-1.20966720613211,3,0.370474597241777,0.00972614926582635,0
"519261 - 526401",-1.85822361853746,51,6.29806815311021,1.7369746936906,8
"527408 - 535614",-2.38082446405869,55,6.79203428276591,0.536809097235068,6
"536310 - 540069",-1.89319560507099,14,1.72888145379496,0.146128302019748,1
"539768 - 541690",-1.90983939004677,11,1.35840685655318,0.0238047840933447,0
"541759 - 543070",-1.82649349396523,11,1.35840685655318,0.0820471715009675,1
"543378 - 545746",-1.74454097593394,16,1.97586451862281,0.360140580820759,2
"545623 - 554633",-2.29755630126582,67,8.27393267173302,1.04807229870782,8
"573285 - 573419",NA,NA,NA,NA,NA
"576810 - 584668",-2.2763314915982,68,8.39742420414695,1.1401961906943,6
"603166 - 604456",-0.993339787248607,4,0.493966129655703,0.141428181345735,0
"663115 - 664901",-2.1334449565195,18,2.22284758345066,0.0562088394448408,1
"665765 - 668508",-2.01295170548234,19,2.34633911586459,0.212530719023333,4
"668291 - 669784",-1.83845459162777,12,1.48189838896711,0.112476401037033,0
"670824 - 672750",-2.1503327037878,25,3.08728831034814,0.238559310836879,3
"672035 - 679718",-2.39896090060209,69,8.52091573656087,0.769334707431581,9
"681263 - 686296",-2.44791212284568,51,6.29806815311021,0.289557734147222,3
"686017 - 687474",-1.60720339074946,7,0.86444072689748,0.0462889070927546,0
"688057 - 689439",-1.61560358912578,7,0.86444072689748,0.0420127603226195,0
"689248 - 690639",-1.01987483282035,2,0.246983064827851,0.00649232061118011,0
"690721 - 692635",-1.60640601352273,8,0.987932259311406,0.0922225451940327,1
"693250 - 696792",-1.85809123254011,40,4.93966129655703,1.26355674174293,5
"697475 - 700443",-2.29003723272054,28,3.45776290758992,0.123012328714836,0
"700633 - 705339",-1.95350637624069,29,3.58125444000385,0.651183398074501,5
"706094 - 709615",-2.23434114623534,23,2.84030524552029,0.0767128516355586,1
"708854 - 710099",-1.78624149485433,9,1.11142379172533,0.0302583480872729,0
"710117 - 715849",-2.37522376750982,50,6.17457662069629,0.447142727115245,3
"717422 - 723139",-2.14990669672596,30,3.70474597241777,0.386226133117236,3
"722433 - 724446",-1.37900898043001,11,1.35840685655318,0.394750827248251,0
"724910 - 727410",-1.95719214623341,18,2.22284758345066,0.235203927337215,4
"727456 - 728891",-1.79511180215952,9,1.11142379172533,0.0248893821549266,0
"729587 - 731615",-1.74450388148346,11,1.35840685655318,0.139341783450337,2
"732052 - 740562",-2.33702973047103,62,7.65647500966339,0.810325702390285,5
"741816 - 743452",-1.99379725917125,17,2.09935605103674,0.163500662092211,1
"743611 - 745637",-2.21722336699252,21,2.59332218069244,0.0465120512526902,0
"747897 - 750065",-0.519893604981738,15,1.85237298620889,1.39424405511661,4
"750307 - 753786",-2.13981699603617,18,2.22284758345066,0.0497376588067072,0
"755176 - 777060",-2.44108672532203,168,20.7465774455395,2.4657635200404,21
"776801 - 779987",-2.21613679471005,34,4.19871210207347,0.391736032203226,2
"780243 - 783375",-2.25700973871708,28,3.45776290758992,0.171106941838649,2
"784194 - 786430",-1.25380292764995,19,2.34633911586459,1.0172584391066,4
"786700 - 790000",-1.59496809772689,24,2.96379677793422,0.920861336457352,6
"790709 - 793086",-0.964096070011234,15,1.85237298620889,1.00281396530108,3
"793749 - 810923",-2.08652944427073,119,14.6954923572572,3.46394959290871,16
"810171 - 815760",0.638405521948547,14,1.72888145379496,2.26260250684847,6
"816141 - 818999",-1.98045961885082,14,1.72888145379496,0.0731736678146847,1
"819175 - 826740",-2.25735755258342,47,5.80410202345451,0.653723718168926,5
"829728 - 830676",-0.551496174429331,7,0.86444072689748,0.583699906338175,1
"830766 - 832555",-1.8121544600605,10,1.23491532413926,0.0528434731801273,0
"833620 - 840678",-0.854165280532045,55,6.79203428276591,4.54785532037336,12
"840757 - 843217",1.179114590688,34,4.19871210207347,6.22424637464143,16
"843562 - 845169",-0.706076145954818,9,1.11142379172533,0.684054294497441,3
"846888 - 849541",0.974487655267759,38,4.69267823172918,6.53607624483612,16
"849793 - 852242",-0.651249007766973,18,2.22284758345066,1.56146593968648,7
"852453 - 854447",-0.541049566835824,7,0.86444072689748,0.589017784002325,1
"854488 - 857207",0.585715605815549,32,3.95172903724562,4.90689720981717,13
"854493 - 855667",0.598965924181776,16,1.97586451862281,2.53060275348149,6
"857875 - 866312",-0.366428833773691,62,7.65647500966339,6.58304985216699,20
