"","region","TajD","S","theta_W","theta_S","recomb"
"46","202330 - 204261",-1.99118023725441,21,2.59332218069244,0.306156136317593,1
"47","202895 - 204937",-1.87805307081806,15,1.85237298620889,0.197437365489581,0
"48","204215 - 207469",-1.95315201670408,12,1.48189838896711,0.027040961633885,0
"49","204272 - 205928",-1.49391124784856,5,0.617457662069629,0.00758044200160311,0
"50","206335 - 210051",-2.20098852790131,23,2.84030524552029,0.11796574737145,0
"51","208165 - 210893",-2.08540255404382,18,2.22284758345066,0.104998722793295,0
"52","211383 - 212908",-1.74052492252196,9,1.11142379172533,0.0579293983622393,1
"53","212772 - 220288",-2.41493000364103,59,7.28600041242162,0.524202039420178,4
"54","212829 - 214204",-0.759752260332563,1,0.123491532413926,0.00108342361863489,0
"55","214215 - 216474",-1.90733350335701,14,1.72888145379496,0.134308708200841,0
"56","216812 - 219272",-2.23107162839735,34,4.19871210207347,0.366080326025362,1
"57","219569 - 222227",-1.89210530098197,16,1.97586451862281,0.223472416739335,1
"58","219926 - 223878",-1.94653950703055,18,2.22284758345066,0.246022308543779,1
"59","222428 - 225423",-2.02333614842411,16,1.97586451862281,0.101931665037127,1
"60","225227 - 226943",-1.22412812976015,3,0.370474597241777,0.00541359476433334,0
"61","225821 - 227226",-1.0290440914204,2,0.246983064827851,0.00433017114569846,0
"62","228159 - 231014",-2.34126811125856,32,3.95172903724562,0.133656305143767,1
"63","230037 - 231763",-1.83349260112057,10,1.23491532413926,0.0389245625934049,0
"64","231469 - 234881",-1.77942491340859,21,2.59332218069244,0.549388555640703,2
"65","232330 - 236562",-2.07415571660633,34,4.19871210207347,0.635637296784669,3
"66","235266 - 238856",-2.1872408551859,21,2.59332218069244,0.0809514162313888,0
"67","239262 - 241179",-1.79929558114635,10,1.23491532413926,0.0612313447078133,1
"68","240616 - 245317",-2.11446591659226,29,3.58125444000385,0.409759620889817,4
"69","241557 - 248411",-2.14303412185011,29,3.58125444000385,0.366910069967439,4
"70","246768 - 249431",-1.84378905099769,11,1.35840685655318,0.0699609791330849,1
"71","248691 - 252115",-1.89582145601948,19,2.34633911586459,0.336693414604785,3
"72","250276 - 253352",-1.8538912601424,17,2.09935605103674,0.29934084389598,2
"73","252516 - 254143",-1.82516410074662,11,1.35840685655318,0.0829761558720679,0
"74","254523 - 254921",-0.698840254623647,4,0.493966129655703,0.245946556973695,0
"75","255011 - 257735",-1.97927243056222,15,1.85237298620889,0.108243121434465,1
"76","255472 - 264324",-2.42752781292037,51,6.29806815311021,0.339591939798055,3
"77","258508 - 259998",-1.80229691600642,9,1.11142379172533,0.0205404199220757,0
"78","260554 - 263407",-2.1420843660403,22,2.71681371310637,0.161729602128091,1
"79","262911 - 266839",-2.08718308530587,25,3.08728831034814,0.322218992504118,2
"80","264233 - 267884",-2.00936956610772,22,2.71681371310637,0.320032179736749,2
"81","267237 - 268354",-1.35227619089041,4,0.493966129655703,0.0140410526532134,0
"82","268176 - 274697",-2.50816781927708,64,7.90345807449125,0.339632458079727,4
"83","269514 - 272152",-2.31394816673564,33,4.07522056965955,0.200924286599312,1
"84","272320 - 275022",-2.21070469614192,21,2.59332218069244,0.053999712261478,0
"85","275163 - 279995",-2.48469507161516,55,6.79203428276591,0.263906138519673,4
"86","279803 - 283029",-2.37696194793041,34,4.19871210207347,0.115463596672803,0
"87","283337 - 289495",-2.23771300762049,60,7.40949194483554,1.0473476674095,8
"88","289667 - 290290",-1.0290440914204,2,0.246983064827851,0.00433017114569846,0
"89","290954 - 292740",-1.22344025305907,5,0.617457662069629,0.117998044552493,1
"90","293534 - 297356",-2.30212578626246,29,3.58125444000385,0.128287926432894,1
"91","297359 - 301207",-2.2280856105261,36,4.44569516690133,0.424444855499476,3
"92","300943 - 316691",-2.4775173371306,108,13.337085500704,1.17276584250133,8
"93","317615 - 319552",-0.455513927271839,10,1.23491532413926,0.937782710438155,1
"94","319592 - 321540",-1.71229027108358,13,1.60538992138103,0.251658460246574,1
"95","321886 - 325323",-2.16422235921467,23,2.84030524552029,0.163440765501913,0
"96","326603 - 329176",-2.3139159837053,27,3.33427137517599,0.0659854897573895,1
"97","328877 - 336810",-2.4032665488311,85,10.4967802551837,1.07517080804611,5
"98","343913 - 349351",-2.54566482749784,60,7.40949194483554,0.171795752627082,3
"99","351860 - 354337",-1.58399618573823,23,2.84030524552029,0.881105855478923,4
"100","355724 - 360711",-2.23687901959516,48,5.92759355586843,0.727185124505633,4
"101","360881 - 362238",-1.56760641059766,7,0.86444072689748,0.0664458713926251,0
"102","362243 - 363831",-1.95170855294814,12,1.48189838896711,0.0281161641518907,0
"103","363945 - 366461",-1.84878005335395,13,1.60538992138103,0.143750055052013,1
"104","366977 - 369608",-1.30719204963999,13,1.60538992138103,0.571927877458623,3
"105","369068 - 371707",-0.773521192486115,7,0.86444072689748,0.470677389330773,2
"106","372099 - 376865",-2.09217362596818,17,2.09935605103674,0.0679832172102869,0
"107","377740 - 378396",-1.03362872072042,2,0.246983064827851,0.00324909641295763,0
"108","378740 - 380796",-2.14510602012501,18,2.22284758345066,0.044366343988467,1
"109","381154 - 381259",-1.18797975885009,3,0.370474597241777,0.0161938065751188,0
"110","382557 - 387277",-2.25670668576717,50,6.17457662069629,0.732925801630714,4
"111","387748 - 389620",-2.12121856519863,19,2.34633911586459,0.0977635670181187,1
"112","390047 - 394326",-1.69140393870111,14,1.72888145379496,0.314830571924354,1
"113","390441 - 390508",NA,NA,NA,NA,NA
"114","391061 - 391145",NA,NA,NA,NA,NA
"115","391758 - 391840",NA,NA,NA,NA,NA
"116","392510 - 392712",NA,NA,NA,NA,NA
"117","395252 - 395336",NA,NA,NA,NA,NA
"118","396205 - 398339",-1.7401213298457,9,1.11142379172533,0.0581736824952215,1
"119","398442 - 399490",-1.45978990449717,6,0.740949194483554,0.0703115503527733,0
"120","400063 - 403317",-2.19852695760683,35,4.3222036344874,0.449860388094672,6
"121","405087 - 410073",-1.9161767667129,49,6.05108508828236,1.51340127485782,6
"122","409782 - 412622",-0.167375000281457,9,1.11142379172533,1.01011606432424,2
"123","412246 - 420738",-2.3625136214893,40,4.93966129655703,0.265592051370134,2
"124","421374 - 425853",-2.43913669102299,48,5.92759355586843,0.256966355145675,2
"125","425857 - 427801",-1.03821833060632,2,0.246983064827851,0.00216684723726977,0
"126","427896 - 430361",-2.03483339057347,15,1.85237298620889,0.059282943858691,2
"127","429897 - 431828",-1.99628170607158,16,1.97586451862281,0.126988405312005,1
"128","431833 - 434308",-2.05034366077517,23,2.84030524552029,0.304294057025077,2
"129","434474 - 436923",-2.08424210092143,22,2.71681371310637,0.23072401471577,1
"130","436628 - 438959",-1.67686089953191,7,0.86444072689748,0.0108295384145607,0
"131","439250 - 441856",-2.30792837826558,33,4.07522056965955,0.211003355970721,1
"132","442112 - 444385",-1.64304823897818,8,0.987932259311406,0.0717913484660307,0
"133","444782 - 445807",-0.992804547791924,3,0.370474597241777,0.0743991990299101,0
"134","445809 - 446947",-1.44694383052303,6,0.740949194483554,0.0762131261615975,0
"135","448912 - 451698",-1.9236535176188,28,3.45776290758992,0.656540032355903,2
"136","451922 - 455003",-1.80702576047194,22,2.71681371310637,0.561388426451979,1
"137","455313 - 457030",-1.81318432266746,10,1.23491532413926,0.0521716918144263,0
"138","457356 - 459438",-1.40636406766858,17,2.09935605103674,0.73386241988097,3
"139","459454 - 461568",-1.89594630655548,11,1.35840685655318,0.0335133167149656,0
"140","461766 - 469974",-2.46786128517319,109,13.4605770331179,1.23753578380854,10
"141","470541 - 471608",-1.58220851571361,6,0.740949194483554,0.0140715881698362,0
"142","471687 - 474753",-2.20065225719102,28,3.45776290758992,0.25317466609119,2
"143","475347 - 476522",-1.56971883462385,14,1.72888145379496,0.416561994439013,2
"144","476989 - 478637",-1.82193203964223,23,2.84030524552029,0.58680983126191,2
"145","478651 - 481414",-2.00421705276277,23,2.84030524552029,0.361346733727359,3
"146","481830 - 485831",-2.33086051670386,43,5.31013589379881,0.395632246679997,6
"147","486329 - 487666",-1.53901036108339,12,1.48189838896711,0.335525431093964,1
"148","487814 - 490238",-1.84638094801204,13,1.60538992138103,0.145646780411466,1
"149","491069 - 510781",-2.55406313770008,271,33.4662052841739,3.03924283663205,26
"150","510703 - 516323",-1.76313336006111,10,1.23491532413926,0.0848200312989045,1
"151","516403 - 518420",-1.33228514374757,5,0.617457662069629,0.073562995651625,0
"152","518688 - 520690",-1.83355561718918,10,1.23491532413926,0.0388834570902589,0
"153","521020 - 522963",-1.46032944741754,10,1.23491532413926,0.282339607794778,2
"154","523510 - 526869",-2.09186045089715,34,4.19871210207347,0.605223335006914,2
"155","526884 - 529092",-0.640527468820888,13,1.60538992138103,1.09899085989776,3
"156","529103 - 530687",-0.909429614477542,9,1.11142379172533,0.560969737541362,1
"157","530740 - 533858",-1.93107390598863,14,1.72888145379496,0.114461209617513,0
"158","534973 - 536499",-1.46008497936552,12,1.48189838896711,0.394315108914903,2
"159","537647 - 538297",-0.933807818568238,2,0.246983064827851,0.0267872819573266,0
"160","539792 - 542025",-1.58134642197644,7,0.86444072689748,0.0594514764215898,0
"161","542108 - 546077",-2.14381662016738,21,2.59332218069244,0.130830595413213,1
"162","546632 - 546979",NA,NA,NA,NA,NA
"163","547383 - 549296",-2.19521103671121,20,2.46983064827851,0.0454438953923667,0
"164","549849 - 551943",-2.15106194200685,20,2.46983064827851,0.0942020687812512,1
"165","552259 - 553266",-1.9701118685751,14,1.72888145379496,0.0818246145625053,1
"166","553917 - 559114",-2.19458808739103,22,2.71681371310637,0.0991030191992061,1
"167","558924 - 561433",-2.22122821472982,24,2.96379677793422,0.118707995313973,0
"168","561660 - 569505",-2.35881789499757,77,9.50884799587228,1.07399284177024,8
"169","569509 - 570889",-1.73112206625993,8,0.987932259311406,0.0226826038574579,0
"170","570914 - 573409",-1.9120050188152,18,2.22284758345066,0.281094111049453,2
"171","574690 - 580622",-2.36020007946279,46,5.68061049104058,0.397703964038557,5
"172","580697 - 583509",-1.91446537593073,11,1.35840685655318,0.0205721298816455,0
"173","785247 - 791068",-2.26273728515693,35,4.3222036344874,0.336764468403081,3
"174","792877 - 793449",-0.759752260332563,1,0.123491532413926,0.00108342361863489,0
"175","795157 - 795318",-1.02445448153449,2,0.246983064827851,0.00541242032138631,0
"176","796233 - 797465",-1.9945843837801,16,1.97586451862281,0.128560397196605,0
"177","798304 - 799611",-1.9046213619715,12,1.48189838896711,0.0631903155434588,0
"178","801760 - 804675",-1.96677369578,17,2.09935605103674,0.189738891971802,0
"179","807101 - 816204",-2.11140050393646,43,5.31013589379881,0.858352785044644,2
"180","816430 - 819402",-0.478822792909817,6,0.740949194483554,0.52097467020174,1
"181","818360 - 819893",-1.02903911083452,2,0.246983064827851,0.00433134558864549,0
"182","820586 - 822198",-1.85598551950265,11,1.35840685655318,0.0614380466664905,0
"183","822958 - 827712",-2.35609380795378,46,5.68061049104058,0.406895154542011,3
"184","830802 - 833569",-1.93285365253815,12,1.48189838896711,0.0421607401339452,0
"185","836836 - 845991",-2.35644771663303,49,6.05108508828236,0.470798944175791,4
"186","846961 - 849446",-1.66373419857913,8,0.987932259311406,0.0602571442832521,0
"187","849634 - 850735",-1.46232076959693,5,0.617457662069629,0.0204770000029361,0
"188","850987 - 855507",-2.20596816681631,21,2.59332218069244,0.059440319213593,1
"189","856817 - 859199",-2.19107224154057,24,2.96379677793422,0.157333662177359,2
"190","859958 - 863117",-1.71311469971989,18,2.22284758345066,0.483078919629933,2
"191","863593 - 865537",-1.64160744471248,12,1.48189838896711,0.259103254087795,1
"192","865726 - 868762",-2.2582055802763,24,2.96379677793422,0.0713450601461594,1
"193","868784 - 872311",-2.02377064473358,15,1.85237298620889,0.0690314075405109,0
"194","871737 - 876247",-2.08430362117219,35,4.3222036344874,0.651045988249698,1
"195","876916 - 878625",-1.38347527757657,6,0.740949194483554,0.105371021207504,0
"196","879217 - 882762",-2.27360574456473,31,3.8282375048317,0.219602040007399,2
"197","881970 - 882114",NA,NA,NA,NA,NA
"198","882766 - 886332",-2.24542458969477,28,3.45776290758992,0.187977227551257,2
"199","888822 - 898655",-2.43520491414897,71,8.76789880138872,0.689321671114869,4
"200","898838 - 903247",-2.38430940766663,47,5.80410202345451,0.364070854142994,4
"201","906714 - 914983",-2.07907109093794,50,6.17457662069629,1.16126276105665,5
"202","918280 - 920560",-1.02410620466539,9,1.11142379172533,0.491558984928961,1
"203","919948 - 922798",-1.01874404908453,9,1.11142379172533,0.494804558013077,1
"204","923314 - 925896",-1.45427294590693,7,0.86444072689748,0.124138619501038,1
"205","925090 - 926708",-1.1979529712022,5,0.617457662069629,0.128403021841703,0
"206","927063 - 930026",-2.04725146389387,16,1.97586451862281,0.0797822582776207,1
"207","932071 - 934404",-1.77740805418784,9,1.11142379172533,0.0356049996036255,0
"208","934432 - 938673",-2.07569126514342,18,2.22284758345066,0.114861107440977,2
"209","939816 - 947433",-1.94214110257984,43,5.31013589379881,1.21522782725119,8
"210","946864 - 961465",-2.31485261813064,99,12.2256617089786,1.75610754374066,10
"211","962262 - 968275",-2.15156851930311,35,4.3222036344874,0.532569945417764,4
"212","968562 - 970710",-1.73395444882456,11,1.35840685655318,0.146713761828843,1
"213","971186 - 972341",-1.3314363806876,10,1.23491532413926,0.366416803929686,2
"214","972357 - 973920",-1.76483300964055,11,1.35840685655318,0.125135721563066,1
"215","974226 - 976097",-1.34719436315194,8,0.987932259311406,0.236755366470241,0
"216","975744 - 979052",-1.47565405507335,10,1.23491532413926,0.272343336651135,2
"217","981063 - 984811",-1.59621327732403,15,1.85237298620889,0.445793879390582,2
"218","985545 - 993212",-2.3919981470159,72,8.89139033380265,0.853082472319848,9
"219","993227 - 996884",-2.26545614381946,29,3.58125444000385,0.183288851306715,0
"220","997441 - 1000427",-1.1691833362372,11,1.35840685655318,0.541377680299013,2
"221","1000407 - 1002443",-1.31700198049178,5,0.617457662069629,0.0798022238077202,1
"222","1002756 - 1008521",-0.331647084055773,21,2.59332218069244,2.2123762797758,8
"223","1008635 - 1010588",-1.18415252955916,20,2.46983064827851,1.16205492282442,5
"224","1010680 - 1011767",-1.67905541537349,8,0.987932259311406,0.0517142462865582,1
"225","1012310 - 1017848",-1.86633965273922,45,5.55711895862666,1.46040864742342,7
"226","1018351 - 1024017",-1.07714975444453,57,7.03901734759377,4.11597624101918,14
"227","1024322 - 1028668",-2.18178093794925,21,2.59332218069244,0.0872229415685273,1
"228","1029020 - 1031737",-2.02375598414635,15,1.85237298620889,0.0690443264129283,0
"229","1031628 - 1032790",-0.969897143834914,2,0.246983064827851,0.0182772683631495,0
"230","1033173 - 1035379",-2.10765160444517,17,2.09935605103674,0.0529550452600951,0
"231","1034857 - 1038418",-1.80459739452229,26,3.21077984276207,0.740926694207354,2
"232","1038977 - 1044259",-2.37655959933514,48,5.92759355586843,0.402448713544557,3
"233","1044957 - 1050130",-2.20617052184629,22,2.71681371310637,0.0852874595918224,1
"234","1050169 - 1053192",-2.25303454843469,50,6.17457662069629,0.741780514229844,5
"235","1053194 - 1056616",-1.22400853935937,17,2.09935605103674,0.910918502467798,2
"236","1057390 - 1059654",-0.257676669507051,5,0.617457662069629,0.512263239642147,0
"237","1059280 - 1064008",-2.31880243689103,31,3.8282375048317,0.147866477581352,3
"238","1062718 - 1063072",-1.00616577019317,2,0.246983064827851,0.00972497482287932,0
"239","1063077 - 1064882",-1.92849645746494,12,1.48189838896711,0.0454063132180618,1
"240","1064286 - 1066800",-2.06235871015433,16,1.97586451862281,0.0657905322281825,0
"241","1064993 - 1067053",-1.95423595965052,13,1.60538992138103,0.0603769374638492,0
"242","1067055 - 1071027",-2.13895944098523,21,2.59332218069244,0.136409786633078,2
"243","1067269 - 1071520",-2.13895944098523,21,2.59332218069244,0.136409786633078,2
"244","1071718 - 1074209",-1.70219942556545,8,0.987932259311406,0.038809467184596,0
"245","1072459 - 1076976",-2.16387293319805,23,2.84030524552029,0.16387296050642,2
"246","1074626 - 1076405",-1.87892124266868,12,1.48189838896711,0.0823337355800427,0
"247","1076956 - 1082092",-2.42350492366139,46,5.68061049104058,0.256006835257952,4
"248","1077568 - 1079040",-1.96410549701356,16,1.97586451862281,0.156788720649937,2
"249","1079971 - 1083396",-2.19292766821246,29,3.58125444000385,0.292074565382707,1
"250","1083321 - 1086048",-1.73246059761479,14,1.72888145379496,0.280506302354464,1
"251","1083776 - 1087560",-1.43022149905138,19,2.34633911586459,0.83024777810075,4
"252","1086660 - 1093283",-2.2832138513118,53,6.54505121793806,0.743500485925769,3
"253","1088291 - 1090085",-2.16891948302292,20,2.46983064827851,0.0744802355932552,0
"254","1091142 - 1092853",-0.105453181415206,4,0.493966129655703,0.456540619577377,1
"255","1092884 - 1096419",-2.09552722829137,17,2.09935605103674,0.0647270741396471,0
"256","1094357 - 1096486",-1.88679685436573,11,1.35840685655318,0.0399069841185953,0
"257","1096720 - 1097745",-0.974417025518533,2,0.246983064827851,0.0172114613887201,0
"258","1097031 - 1105221",-2.40670781640103,47,5.80410202345451,0.312966730967418,3
"259","1097880 - 1103771",-2.37136070073314,41,5.06315282897095,0.268764808991535,3
"260","1104154 - 1107028",-0.722361498511401,9,1.11142379172533,0.674197194843021,3
"261","1105251 - 1108739",-1.26938747193834,15,1.85237298620889,0.733791953304148,3
"262","1107772 - 1110152",-2.0809812625071,20,2.46983064827851,0.171599033433455,2
"263","1108744 - 1112924",-2.22960631667759,26,3.21077984276207,0.159240370301861,3
"264","1110057 - 1112485",-1.9340292535123,13,1.60538992138103,0.0763522976508205,0
"265","1112700 - 1115761",-1.23700003719874,11,1.35840685655318,0.493987145721945,2
"266","1117049 - 1120693",-1.4661703416074,21,2.59332218069244,0.90920792631545,4
"267","1120716 - 1123490",-1.86866008614069,14,1.72888145379496,0.166640535311095,0
"268","1124682 - 1128048",-2.06162825488163,18,2.22284758345066,0.129142920898331,2
"269","1128223 - 1131206",-2.09335199136462,18,2.22284758345066,0.096925601975413,0
"270","1131284 - 1137072",-2.38976967631032,75,9.26186493104443,0.922191393094863,4
"271","1137082 - 1140631",-1.88053814281254,12,1.48189838896711,0.0811293443378637,1
"272","1141454 - 1144631",-1.93792579614566,20,2.46983064827851,0.329589209218203,1
"273","1144744 - 1148981",-2.46031235355627,46,5.68061049104058,0.173619662523819,3
"274","1148926 - 1151585",-1.1682021521847,8,0.987932259311406,0.33655894088735,1
"275","1151788 - 1154689",-2.1383021949733,19,2.34633911586459,0.0796542439963945,1
"276","1155616 - 1158343",-1.6476808044363,13,1.60538992138103,0.302738507341736,2
"277","1158440 - 1162440",-2.3546206690251,33,4.07522056965955,0.132825386758743,1
"278","1162731 - 1164039",-0.0703809217640805,2,0.246983064827851,0.230386949589973,0
"279","1163768 - 1167334",-1.75505896603468,13,1.60538992138103,0.217845660580116,2
"280","1166588 - 1166687",NA,NA,NA,NA,NA
"281","1166812 - 1166914",-1.1091968674615,3,0.370474597241777,0.0396885377304477,0
"282","1168333 - 1171161",-1.47274640416427,5,0.617457662069629,0.0162208187629005,0
"283","1171260 - 1176260",-2.27991307395422,33,4.07522056965955,0.257910020053613,2
"284","1176282 - 1180695",-2.41223256965216,49,6.05108508828236,0.338695252607997,4
"285","1179639 - 1185871",-2.22797347139059,50,6.17457662069629,0.802210888847783,5
"286","1187604 - 1189562",-1.56336319499086,12,1.48189838896711,0.317385572555617,2
"287","1190118 - 1194394",-2.41769120990742,45,5.55711895862666,0.250163981596479,3
"288","1193687 - 1195036",-1.2935888935916,5,0.617457662069629,0.0893604277321213,0
"289","1195469 - 1198419",-2.20743154026154,39,4.8161697641431,0.544669056658064,3
"290","1199053 - 1202149",-2.03101753040444,16,1.97586451862281,0.0948174768854947,1
"291","1201675 - 1204113",-1.96636295436174,13,1.60538992138103,0.0507893724657723,1
"292","1204242 - 1210151",-2.28039112864252,65,8.02694960690517,1.05169662964235,8
"293","1210686 - 1211456",-1.38671621958401,5,0.617457662069629,0.0513419478723498,0
"294","1216521 - 1224812",-2.39829766251219,78,9.63233952828621,0.953022869340286,7
"295","1225688 - 1226474",-1.22049911529304,3,0.370474597241777,0.0064958439400212,0
"296","1226559 - 1233099",-2.49873470235611,63,7.77996654207732,0.352344628538376,3
"297","1234061 - 1236391",-2.20579698646497,24,2.96379677793422,0.138473282891009,2
"298","1239829 - 1242921",-2.13811393488113,22,2.71681371310637,0.166465543311988,1
"299","1243226 - 1246618",-2.22652538142438,37,4.56918669931525,0.454030834999574,2
"300","1248292 - 1251089",-1.84938423745644,12,1.48189838896711,0.104335162528223,1
"301","1251966 - 1253902",-1.46217692806041,5,0.617457662069629,0.0205357221502876,0
"302","1254662 - 1260426",-2.38779218044972,47,5.80410202345451,0.356124573163391,2
"303","1261759 - 1266078",-2.34467272513455,73,9.01488186621658,1.03459380422623,9
"304","1265900 - 1267995",-1.71136438148817,9,1.11142379172533,0.075579514191675,0
"305","1268410 - 1270016",-1.14739808006521,7,0.86444072689748,0.280354211992824,0
"306","1270935 - 1273096",-1.80998264350689,12,1.48189838896711,0.133684491774495,1
"307","1273208 - 1275484",-1.87124413016222,11,1.35840685655318,0.050775279150408,0
"308","1275535 - 1276542",-1.04784860686426,14,1.72888145379496,0.852856979274018,2
"309","1276697 - 1281158",-2.37290824837189,45,5.55711895862666,0.348464856262864,3
"310","1280823 - 1288093",-2.49639522712076,70,8.6444072689748,0.470410203560324,6
"311","1289824 - 1292127",-1.78531339619166,11,1.35840685655318,0.110823959810562,0
"312","1292966 - 1296696",0.435505404101706,61,7.53298347724947,8.78997730389005,22
"313","1296801 - 1298199",-1.7825135018466,10,1.23491532413926,0.072178327417077,0
"314","1298301 - 1300611",-2.12893067727443,21,2.59332218069244,0.147929310279018,1
"315","1301308 - 1307797",-2.24062242384051,39,4.8161697641431,0.480442882435325,4
"316","1308312 - 1312020",-2.15732816564462,20,2.46983064827851,0.0872816637158788,0
"317","1312734 - 1317676",-2.22126843224865,45,5.55711895862666,0.681321952981177,6
"318","1318721 - 1322792",-1.78681167513052,30,3.70474597241777,0.946686749641061,3
"319","1322407 - 1325617",-1.53720316725442,19,2.34633911586459,0.71684297991409,3
"320","1326228 - 1332808",-2.43349220144325,68,8.39742420414695,0.639148293974814,5
"321","1333076 - 1340271",-2.63192609584469,115,14.2015262276015,0.486829503181272,5
"322","1340325 - 1342250",-2.03609353468426,15,1.85237298620889,0.0581725080522745,0
"323","1343384 - 1349822",-2.3127318746484,46,5.68061049104058,0.503953468570439,5
"324","1350158 - 1358171",-2.4446790783331,78,9.63233952828621,0.78517089612933,7
"325","1358907 - 1364530",-2.15752429848406,35,4.3222036344874,0.522079821014895,3
"326","1367023 - 1368903",-1.57284941584907,6,0.740949194483554,0.0183712237989119,0
"327","1369619 - 1371667",-2.028133415219,18,2.22284758345066,0.163158899194626,0
"328","1371743 - 1374175",-1.82705415936798,10,1.23491532413926,0.0431243705719831,0
"329","1374293 - 1377710",-1.05860268694507,22,2.71681371310637,1.45410952267703,4
"330","1380567 - 1382594",-1.73887307387675,10,1.23491532413926,0.100645062788656,0
"331","1384340 - 1385924",-1.60926941042702,7,0.86444072689748,0.0452371934336895,0
"332","1387091 - 1388909",-1.87323773582092,10,1.23491532413926,0.0129987345377246,0
"333","1389211 - 1396929",-2.37597897617286,68,8.39742420414695,0.82250761185835,9
"334","1396148 - 1397044",-1.21688979162607,3,0.370474597241777,0.00757222090097391,0
"335","1397248 - 1398391",-1.46344815959309,6,0.740949194483554,0.0686309224955738,0
"336","1398462 - 1401319",-2.06938103026578,19,2.34633911586459,0.152713403623744,1
"337","1403727 - 1414748",-2.58561702319734,131,16.1773907462243,0.925473373910337,7
"338","1415406 - 1417214",-2.15454252749118,20,2.46983064827851,0.090358117015623,0
"339","1417279 - 1420432",-2.34344276340798,30,3.70474597241777,0.08749071456045,0
"340","1421786 - 1426832",-2.37113847711068,36,4.44569516690133,0.166262951903625,0
"341","1426876 - 1431677",-2.30656431025354,36,4.44569516690133,0.282806448866222,2
"342","1431881 - 1435170",-1.87546731494359,13,1.60538992138103,0.122651187508625,1
"343","1440742 - 1445784",-2.43955028926714,44,5.43362742621273,0.184305918898842,4
