"S"	"theta_W"	"theta_pi"	"TajD"	"population"	"positions"
99	14.4947001911251	0.909611679264859	-2.71195808213273	"DRC"	162501.5
95	13.9090557389585	0.781006373202905	-2.72535683225208	"DRC"	165001.5
104	15.2267557563335	0.827397361790425	-2.74288751155722	"DRC"	167501.5
107	15.6659890954585	0.769075144508671	-2.76179620349875	"DRC"	170001.5
117	17.1301002258752	0.976493256262042	-2.74974940900248	"DRC"	172501.5
131	19.1798558084585	1.19818437824218	-2.74640117089857	"DRC"	175001.5
137	20.0583224867085	1.21741514747295	-2.75626852275694	"DRC"	177501.5
149	21.8152558432086	1.3573365940418	-2.76003167975167	"DRC"	180001.5
160	23.4257780866669	1.3689936267971	-2.7777030952762	"DRC"	182501.5
148	21.6688447301669	1.12496665184526	-2.78971051096693	"DRC"	185001.5
119	17.4229224519585	0.982629316733363	-2.75349762741491	"DRC"	187501.5
97	14.2018779650418	0.751289461983104	-2.73766108644355	"DRC"	190001.5
132	19.3262669215002	1.13153253297762	-2.75869683037969	"DRC"	192501.5
140	20.4975558258335	1.70195642507781	-2.69285634077302	"DRC"	195001.5
196	28.696578156167	2.70188972876834	-2.6882075831982	"DRC"	197501.5
207	30.3071003996253	2.78591225729954	-2.69862594114939	"DRC"	200001.5
160	23.4257780866669	2.27409218912109	-2.66372024874336	"DRC"	202501.5
127	18.5942113562919	1.55806284274492	-2.68068518497493	"DRC"	205001.5
99	14.4947001911251	0.761145694382689	-2.74159598454841	"DRC"	207501.5
110	16.1052224345835	1.18174744330814	-2.69467890610759	"DRC"	210001.5
138	20.2047335997502	2.13581591818586	-2.62488243484431	"DRC"	212501.5
161	23.5721891997086	2.25902623388173	-2.66791550309349	"DRC"	215001.5
183	26.7932336866253	2.71913443011709	-2.66144993926012	"DRC"	217501.5
160	23.4257780866669	2.26552541870461	-2.664799097963	"DRC"	220001.5
133	19.4726780345419	1.81609604268564	-2.65773893338955	"DRC"	222501.5
119	17.4229224519585	1.70482436638506	-2.63254100338209	"DRC"	225001.5
98	14.3482890780835	1.70220097821254	-2.54897278786879	"DRC"	227501.5
100	14.6411113041668	1.801274640581	-2.53881831149948	"DRC"	230001.5
98	14.3482890780835	1.24373795761079	-2.64138158294669	"DRC"	232501.5
129	18.8870335823752	1.54957017933897	-2.68745647161217	"DRC"	235001.5
157	22.9865447475419	1.87616718541574	-2.70766080864934	"DRC"	237501.5
172	25.1827114431669	2.00844819919964	-2.72090866065079	"DRC"	240001.5
186	27.2324670257503	2.8333852082407	-2.65508096882584	"DRC"	242501.5
159	23.2793669736252	2.60786275381651	-2.61909393691496	"DRC"	245001.5
115	16.8372779997918	2.59465688454128	-2.46478193793859	"DRC"	247501.5
103	15.0803446432918	2.50787016451756	-2.41702387993398	"DRC"	250001.5
114	16.6908668867502	2.13630502445531	-2.53989123900397	"DRC"	252501.5
147	21.5224336171252	2.6182006817845	-2.58391593928657	"DRC"	255001.5
168	24.5970669910002	1.80910034089225	-2.73730662201098	"DRC"	257501.5
175	25.6219447822919	1.71602934637617	-2.76011252145073	"DRC"	260001.5
162	23.7186003127502	1.46735586186453	-2.76869255553817	"DRC"	262501.5
117	17.1301002258752	0.91498443752779	-2.76021975400227	"DRC"	265001.5
83	12.1521223824585	0.708477842003854	-2.69905332212976	"DRC"	267501.5
76	11.1272445911668	1.19974062546317	-2.54350371164287	"DRC"	270001.5
70	10.2487779129168	1.46367274344153	-2.43065191690772	"DRC"	272501.5
115	16.8372779997918	4.06309470875945	-2.21065883820639	"DRC"	275001.5
129	18.8870335823752	4.29109974803616	-2.26249572561163	"DRC"	277501.5
164	24.0114225388336	4.28872091299837	-2.42507835653665	"DRC"	280001.5
173	25.3291225562086	4.68910626945309	-2.40976985840517	"DRC"	282501.5
141	20.6439669388752	2.26130131910479	-2.61568952659424	"DRC"	285001.5
153	22.4009002953752	5.68768341485104	-2.19784267425442	"DRC"	287501.5
118	17.2765113389168	5.60497999110716	-1.97066539838871	"DRC"	290001.5
127	18.5942113562919	6.28487475915222	-1.93690822937959	"DRC"	292501.5
147	21.5224336171252	6.79611679264858	-2.01285949553728	"DRC"	295001.5
163	23.8650114257919	3.673654957759	-2.49745528357175	"DRC"	297501.5
172	25.1827114431669	3.46605157847932	-2.54977028974666	"DRC"	300001.5
144	21.0832002780002	2.24419742107603	-2.62674906578262	"DRC"	302501.5
134	19.6190891475835	2.46056765970061	-2.56422262725049	"DRC"	305001.5
133	19.4726780345419	3.98693493404476	-2.33097563105038	"DRC"	307501.5
141	20.6439669388752	3.98813546761524	-2.36997641349892	"DRC"	310001.5
178	26.0611781214169	4.24315992292871	-2.47782390776793	"DRC"	312501.5
191	27.9645225909586	4.94629464947384	-2.441024397844	"DRC"	315001.5
196	28.696578156167	5.62255076330221	-2.38617114360349	"DRC"	317501.5
213	31.1855670778753	7.08597895360901	-2.29817713268077	"DRC"	320001.5
192	28.1109337040003	7.2073514154439	-2.20553747189203	"DRC"	322501.5
162	23.7186003127502	5.58747591522158	-2.25603153359703	"DRC"	325001.5
152	22.2544891823336	3.18318511931229	-2.52388384806903	"DRC"	327501.5
132	19.3262669215002	1.60450570623981	-2.68698434664285	"DRC"	330001.5
137	20.0583224867085	1.09436045649918	-2.77427040372805	"DRC"	332501.5
165	24.1578336518752	1.8183711279087	-2.73070260959865	"DRC"	335001.5
168	24.5970669910002	1.79848080628427	-2.73858224799602	"DRC"	337501.5
173	25.3291225562086	1.92500370535053	-2.73248525513618	"DRC"	340001.5
180	26.3540003475003	2.10264562027568	-2.72444817294573	"DRC"	342501.5
168	24.5970669910002	1.54708759448644	-2.76877977785679	"DRC"	345001.5
137	20.0583224867085	1.36851934192975	-2.73416323200109	"DRC"	347501.5
115	16.8372779997918	1.32915369793983	-2.68378582574117	"DRC"	350001.5
91	13.3234112867918	0.98111753371869	-2.66880438332441	"DRC"	352501.5
81	11.8593001563751	0.87380317178005	-2.6511585525924	"DRC"	355001.5
95	13.9090557389585	1.00420186749667	-2.67902189334729	"DRC"	357501.5
125	18.3013891302085	1.12810878909145	-2.74375719287589	"DRC"	360001.5
164	24.0114225388336	1.82146880094857	-2.7284485443822	"DRC"	362501.5
165	24.1578336518752	2.02948717948718	-2.70489647606455	"DRC"	365001.5
183	26.7932336866253	2.77398102860531	-2.65538651505223	"DRC"	367501.5
169	24.7434781040419	5.79741366533274	-2.26275806148269	"DRC"	370001.5
144	21.0832002780002	6.52271379872536	-2.03018941858265	"DRC"	372501.5
161	23.5721891997086	7.19044019564251	-2.05061642919027	"DRC"	375001.5
143	20.9367891649585	6.71150881873425	-1.99682795409032	"DRC"	377501.5
141	20.6439669388752	3.57017192826441	-2.4294489010582	"DRC"	380001.5
132	19.3262669215002	2.25787016451756	-2.58792082520609	"DRC"	382501.5
138	20.2047335997502	1.91623684600563	-2.65678081745819	"DRC"	385001.5
141	20.6439669388752	1.64653179190751	-2.70316575266614	"DRC"	387501.5
146	21.3760225040835	1.94851785978954	-2.67299229279672	"DRC"	390001.5
151	22.1080780692919	1.88443752779013	-2.69350824509436	"DRC"	392501.5
128	18.7406224693335	1.6694753223655	-2.66603345276256	"DRC"	395001.5
111	16.2516335476252	1.56991996442864	-2.62821413377589	"DRC"	397501.5
102	14.9339335302501	2.55008151771158	-2.40297054249643	"DRC"	400001.5
84	12.2985334955001	2.4881873425226	-2.28787257387901	"DRC"	402501.5
70	10.2487779129168	2.09207054987402	-2.25678759732133	"DRC"	405001.5
66	9.6631334607501	2.02417370683267	-2.23249609641666	"DRC"	407501.5
73	10.6880112520418	1.08417074255225	-2.55509318727096	"DRC"	410001.5
103	15.0803446432918	2.53900993033941	-2.41103734500532	"DRC"	412501.5
129	18.8870335823752	2.82981325033348	-2.48900774549816	"DRC"	415001.5
142	20.7903780519169	3.11340595820365	-2.49819658584093	"DRC"	417501.5
129	18.8870335823752	2.607507040166	-2.52346712685666	"DRC"	420001.5
116	16.9836891128335	1.26379131465837	-2.69799416356593	"DRC"	422501.5
131	19.1798558084585	1.56243515636579	-2.69076792415498	"DRC"	425001.5
142	20.7903780519169	1.5647028308878	-2.71706692430335	"DRC"	427501.5
136	19.9119113736669	1.76383577886468	-2.67370676860051	"DRC"	430001.5
128	18.7406224693335	1.69908848377056	-2.66140870913706	"DRC"	432501.5
100	14.6411113041668	2.0520824069957	-2.48922614247713	"DRC"	435001.5
81	11.8593001563751	1.72174299688751	-2.4465230297235	"DRC"	437501.5
93	13.6162335128751	1.44098858752038	-2.57904727439349	"DRC"	440001.5
116	16.9836891128335	1.73594190010375	-2.61695931587094	"DRC"	442501.5
93	13.6162335128751	0.717140951534015	-2.73237784672384	"DRC"	445001.5
106	15.5195779824168	0.790069660589892	-2.75531546737706	"DRC"	447501.5
128	18.7406224693335	1.14413813546762	-2.74807635838526	"DRC"	450001.5
99	14.4947001911251	0.791685193419297	-2.73549945884935	"DRC"	452501.5
118	17.2765113389168	0.936712613013191	-2.75887327945334	"DRC"	455001.5
103	15.0803446432918	0.878857269897732	-2.73019715967807	"DRC"	457501.5
83	12.1521223824585	0.705446865273455	-2.69976819646762	"DRC"	460001.5
98	14.3482890780835	1.32302504816956	-2.62540030599626	"DRC"	462501.5
100	14.6411113041668	1.89373795761079	-2.52053555848885	"DRC"	465001.5
137	20.0583224867085	4.48699421965318	-2.27795621448777	"DRC"	467501.5
140	20.4975558258335	4.38278494145546	-2.30877249673437	"DRC"	470001.5
136	19.9119113736669	3.7846598488217	-2.3759842378688	"DRC"	472501.5
142	20.7903780519169	3.43622350674374	-2.45257442310079	"DRC"	475001.5
120	17.5693335650002	1.4059063287387	-2.68551074788969	"DRC"	477501.5
116	16.9836891128335	1.65377945753668	-2.6310607937149	"DRC"	480001.5
129	18.8870335823752	1.92066103453387	-2.62993418607558	"DRC"	482501.5
146	21.3760225040835	1.91605898918038	-2.67745824519564	"DRC"	485001.5
141	20.6439669388752	1.39158144360457	-2.73944291560057	"DRC"	487501.5
133	19.4726780345419	1.25029642804209	-2.74290534130636	"DRC"	490001.5
122	17.8621557910835	1.01780791462872	-2.75465376346984	"DRC"	492501.5
135	19.7655002606252	1.90025937453683	-2.65080238392728	"DRC"	495001.5
142	20.7903780519169	3.08678672002371	-2.50195854742498	"DRC"	497501.5
177	25.9147670083753	4.25697346969023	-2.47311879768317	"DRC"	500001.5
190	27.8181114779169	4.53051726693345	-2.48223358070126	"DRC"	502501.5
152	22.2544891823336	3.42329183340744	-2.49210828329826	"DRC"	505001.5
167	24.4506558779586	2.97870164517563	-2.59419538491642	"DRC"	507501.5
148	21.6688447301669	1.92157996146435	-2.68153616751784	"DRC"	510001.5
136	19.9119113736669	2.53224396027864	-2.56049927478321	"DRC"	512501.5
174	25.4755336692503	4.58033199940714	-2.42595799697863	"DRC"	515001.5
150	21.9616669562502	4.13505261597747	-2.38954735570884	"DRC"	517501.5
139	20.3511447127919	4.26127908700163	-2.32118272690731	"DRC"	520001.5
141	20.6439669388752	3.65539499036609	-2.4173224186658	"DRC"	522501.5
122	17.8621557910835	1.96873425226026	-2.59914327211975	"DRC"	525001.5
135	19.7655002606252	2.15802578923966	-2.61255561015314	"DRC"	527501.5
127	18.5942113562919	1.78557136505113	-2.64488608844106	"DRC"	530001.5
108	15.8124002085002	1.48732029049948	-2.63232305208046	"DRC"	532501.5
90	13.1770001737501	1.12965021491033	-2.6324019946831	"DRC"	535001.5
88	12.8841779476668	0.807862753816511	-2.69538094851363	"DRC"	537501.5
98	14.3482890780835	1.2504668741663	-2.64002528801529	"DRC"	540001.5
114	16.6908668867502	1.39139617607826	-2.66988398462902	"DRC"	542501.5
125	18.3013891302085	2.12727137987254	-2.58412202179304	"DRC"	545001.5
139	20.3511447127919	2.68042092781977	-2.54924309348376	"DRC"	547501.5
134	19.6190891475835	2.23614939973321	-2.59776038751631	"DRC"	550001.5
120	17.5693335650002	2.90168222913888	-2.4369915323642	"DRC"	552501.5
111	16.2516335476252	2.69364902919816	-2.42705228752231	"DRC"	555001.5
97	14.2018779650418	2.1972950941159	-2.44334880791626	"DRC"	557501.5
107	15.6659890954585	2.29948125092634	-2.47806832613888	"DRC"	560001.5
113	16.5444557737085	1.66090114124796	-2.61927241660588	"DRC"	562501.5
130	19.0334446954169	1.3576774862902	-2.71963914333252	"DRC"	565001.5
134	19.6190891475835	1.27009041055284	-2.74213123678001	"DRC"	567501.5
111	16.2516335476252	1.05043723136209	-2.72120817384902	"DRC"	570001.5
105	15.3731668693752	0.954209278197718	-2.72169783918775	"DRC"	572501.5
91	13.3234112867918	0.741336890469838	-2.72065273862543	"DRC"	575001.5
79	11.5664779302918	0.746539202608567	-2.67328251395336	"DRC"	577501.5
115	16.8372779997918	2.19408626056025	-2.53410339435226	"DRC"	580001.5
119	17.4229224519585	2.19622795316437	-2.55023841916595	"DRC"	582501.5
117	17.1301002258752	2.33943234029939	-2.51774296314255	"DRC"	585001.5
111	16.2516335476252	2.22323995850007	-2.51126151563858	"DRC"	587501.5
89	13.0305890607085	1.00572106121239	-2.65539382888579	"DRC"	590001.5
118	17.2765113389168	1.2528753520083	-2.70549116947731	"DRC"	592501.5
126	18.4478002432502	1.21564398992145	-2.73218688782123	"DRC"	595001.5
124	18.1549780171668	1.19991848228842	-2.72985148248707	"DRC"	597501.5
108	15.8124002085002	1.37664888098414	-2.65265961593498	"DRC"	600001.5
91	13.3234112867918	1.73158440788499	-2.5065290945179	"DRC"	602501.5
83	12.1521223824585	1.62926485845561	-2.48188009143893	"DRC"	605001.5
84	12.2985334955001	1.77550022232103	-2.45407846413408	"DRC"	607501.5
89	13.0305890607085	1.96079739143323	-2.44448891138569	"DRC"	610001.5
67	9.80954457379177	1.45555061508819	-2.40758477266306	"DRC"	612501.5
67	9.80954457379177	2.26172372906477	-2.17524918289187	"DRC"	615001.5
60	8.78466678250009	2.05115606936416	-2.14942188151214	"DRC"	617501.5
61	8.93107789554175	1.77065362383281	-2.25107789258731	"DRC"	620001.5
75	10.9808334781251	1.89470875944864	-2.35699638385879	"DRC"	622501.5
76	11.1272445911668	2.21252408477842	-2.28402071402754	"DRC"	625001.5
74	10.8344223650834	2.98394101081962	-2.06220780442828	"DRC"	627501.5
62	9.07748900858342	2.66625907810879	-1.98547803639087	"DRC"	630001.5
61	8.93107789554175	2.48518600859641	-2.02644482702524	"DRC"	632501.5
51	7.46696676512507	2.05506891951979	-2.00527636290471	"DRC"	635001.5
67	9.80954457379177	1.61029346376167	-2.3629885558132	"DRC"	637501.5
73	10.6880112520418	1.58581591818586	-2.42163093647428	"DRC"	640001.5
68	9.95595568683343	1.79985919668001	-2.31838120019408	"DRC"	642501.5
80	11.7128890433334	1.16911960871498	-2.57444627630447	"DRC"	645001.5
86	12.5913557215835	1.32051282051282	-2.57079861070013	"DRC"	647501.5
87	12.7377668346251	1.3654957759004	-2.56578480099144	"DRC"	650001.5
89	13.0305890607085	1.138669038091	-2.62603556587773	"DRC"	652501.5
83	12.1521223824585	1.1493478583074	-2.59507144136399	"DRC"	655001.5
75	10.9808334781251	1.3402549281162	-2.50082510247422	"DRC"	657501.5
110	16.1052224345835	1.93617163183637	-2.55845520832454	"DRC"	660001.5
131	19.1798558084585	2.23817993182155	-2.58755915128074	"DRC"	662501.5
145	21.2296113910419	2.6956795612865	-2.56701621949504	"DRC"	665001.5
161	23.5721891997086	2.43560100785534	-2.6458124216459	"DRC"	667501.5
165	24.1578336518752	2.26145694382689	-2.67654125309753	"DRC"	670001.5
161	23.5721891997086	2.20044464206314	-2.67524856469768	"DRC"	672501.5
168	24.5970669910002	2.1388246628131	-2.69769990397027	"DRC"	675001.5
174	25.4755336692503	2.01911219801393	-2.72331869047111	"DRC"	677501.5
178	26.0611781214169	1.99039573143619	-2.73366533761101	"DRC"	680001.5
157	22.9865447475419	1.6334000296428	-2.73879862754335	"DRC"	682501.5
137	20.0583224867085	1.20517266933452	-2.75805949579905	"DRC"	685001.5
122	17.8621557910835	1.17428486734845	-2.72906418114423	"DRC"	687501.5
112	16.3980446606668	2.40357195790722	-2.48381761454381	"DRC"	690001.5
133	19.4726780345419	2.66280569141841	-2.53028883009371	"DRC"	692501.5
141	20.6439669388752	2.71239069215948	-2.55150352805287	"DRC"	695001.5
153	22.4009002953752	2.93303690529124	-2.56008769832585	"DRC"	697501.5
140	20.4975558258335	2.19658366681488	-2.62199081125034	"DRC"	700001.5
127	18.5942113562919	2.08131021194605	-2.59835076123008	"DRC"	702501.5
122	17.8621557910835	2.02080924855491	-2.59062714637966	"DRC"	705001.5
117	17.1301002258752	1.70269749518304	-2.62613121768802	"DRC"	707501.5
121	17.7157446780418	1.35374240403142	-2.69696882752095	"DRC"	710001.5
111	16.2516335476252	1.17183933600119	-2.69947564750088	"DRC"	712501.5
119	17.4229224519585	1.44935526900845	-2.6753281695061	"DRC"	715001.5
105	15.3731668693752	1.93199199644286	-2.53713324118441	"DRC"	717501.5
92	13.4698223998335	1.95057062398103	-2.46520152911023	"DRC"	720001.5
119	17.4229224519585	2.33076923076923	-2.52770481312697	"DRC"	722501.5
116	16.9836891128335	2.08001333926189	-2.5579065951334	"DRC"	725001.5
133	19.4726780345419	1.8445753668297	-2.65345211227043	"DRC"	727501.5
142	20.7903780519169	1.42338076182007	-2.73703925375984	"DRC"	730001.5
147	21.5224336171252	1.98401511783015	-2.67059928649097	"DRC"	732501.5
152	22.2544891823336	2.16762264710242	-2.65828271832172	"DRC"	735001.5
142	20.7903780519169	1.95428338520824	-2.66200948541881	"DRC"	737501.5
168	24.5970669910002	2.17226915666222	-2.6936825277871	"DRC"	740001.5
150	21.9616669562502	1.39459759893286	-2.75688839503475	"DRC"	742501.5
148	21.6688447301669	2.39927375129687	-2.6166687952798	"DRC"	745001.5
153	22.4009002953752	2.28952867941307	-2.64471113438721	"DRC"	747501.5
111	16.2516335476252	1.93814287831629	-2.56229753206753	"DRC"	750001.5
122	17.8621557910835	2.15077071290944	-2.56937379543274	"DRC"	752501.5
115	16.8372779997918	0.982406995701793	-2.74379268836851	"DRC"	755001.5
137	20.0583224867085	2.05466874166296	-2.63378526408577	"DRC"	757501.5
151	22.1080780692919	2.18440047428487	-2.65355734367538	"DRC"	760001.5
154	22.5473114084169	2.82372165406847	-2.57743336951703	"DRC"	762501.5
158	23.1329558605836	2.89650955980436	-2.57967338167344	"DRC"	765001.5
137	20.0583224867085	2.00453534904402	-2.64111936374067	"DRC"	767501.5
130	19.0334446954169	2.36473988439306	-2.5646899247071	"DRC"	770001.5
112	16.3980446606668	1.44092930191196	-2.65467283976432	"DRC"	772501.5
125	18.3013891302085	1.97937601897139	-2.60775111024936	"DRC"	775001.5
119	17.4229224519585	2.08442270638802	-2.56896408781425	"DRC"	777501.5
131	19.1798558084585	2.41132355120794	-2.56111434380766	"DRC"	780001.5
140	20.4975558258335	3.71841559211501	-2.40395707567974	"DRC"	782501.5
137	20.0583224867085	3.79597598932859	-2.37904645194829	"DRC"	785001.5
125	18.3013891302085	4.85889284126278	-2.14769369336477	"DRC"	787501.5
103	15.0803446432918	5.19873277012005	-1.89971289343384	"DRC"	790001.5
83	12.1521223824585	3.88636431006373	-1.94952942712878	"DRC"	792501.5
78	11.4200668172501	4.17385504668742	-1.81186082842631	"DRC"	795001.5
99	14.4947001911251	3.43703127315844	-2.20741547362368	"DRC"	797501.5
104	15.2267557563335	2.84355269008448	-2.35883656152092	"DRC"	800001.5
121	17.7157446780418	3.84009189269305	-2.28714080323969	"DRC"	802501.5
110	16.1052224345835	2.80165258633467	-2.40217838452259	"DRC"	805001.5
83	12.1521223824585	2.41083444493849	-2.29754214023685	"DRC"	807501.5
81	11.8593001563751	4.82547057951682	-1.69749238166603	"DRC"	810001.5
66	9.6631334607501	3.99006224988884	-1.65796256832569	"DRC"	812501.5
65	9.51672234770843	4.09504965169705	-1.60710911847549	"DRC"	815001.5
93	13.6162335128751	4.05495034830295	-2.02533923846922	"DRC"	817501.5
102	14.9339335302501	1.64326367274344	-2.57893005547044	"DRC"	820001.5
103	15.0803446432918	2.03232547799022	-2.50844604708595	"DRC"	822501.5
116	16.9836891128335	3.13268119164073	-2.37723800820268	"DRC"	825001.5
99	14.4947001911251	3.20392767155773	-2.25394937701219	"DRC"	827501.5
106	15.5195779824168	3.53739439751	-2.24139835784759	"DRC"	830001.5
125	18.3013891302085	4.14125537275826	-2.262349887579	"DRC"	832501.5
117	17.1301002258752	6.09083296279828	-1.87916040606707	"DRC"	835001.5
132	19.3262669215002	12.6761894175189	-1.0082888455676	"DRC"	837501.5
127	18.5942113562919	15.4054913294798	-0.501753933884221	"DRC"	840001.5
148	21.6688447301669	23.7469542018675	0.282192282004468	"DRC"	842501.5
179	26.2075892344586	29.1202312138728	0.328987615745022	"DRC"	845001.5
176	25.7683558953336	26.1861642211353	0.0479729656720099	"DRC"	847501.5
170	24.8898892170836	23.4706091596265	-0.168539910054145	"DRC"	850001.5
170	24.8898892170836	20.6374610938195	-0.504977047793348	"DRC"	852501.5
170	24.8898892170836	18.1457684896991	-0.800866252446477	"DRC"	855001.5
195	28.5501670431253	18.1044908848377	-1.08561859249067	"DRC"	857501.5
174	25.4755336692503	17.0799466429524	-0.974737732020662	"DRC"	860001.5
119	17.4229224519585	10.2472061657033	-1.20182271731347	"DRC"	862501.5
61	8.93107789554175	4.03854305617311	-1.53810397229261	"DRC"	865001.5
NA	NA	NA	NA	"DRC"	867501.5
NA	NA	NA	NA	"DRC"	870001.5
NA	NA	NA	NA	"DRC"	872501.5
NA	NA	NA	NA	"DRC"	875001.5
NA	NA	NA	NA	"DRC"	877501.5
NA	NA	NA	NA	"DRC"	880001.5
NA	NA	NA	NA	"DRC"	882501.5
NA	NA	NA	NA	"DRC"	885001.5
NA	NA	NA	NA	"DRC"	887501.5
NA	NA	NA	NA	"DRC"	890001.5
NA	NA	NA	NA	"DRC"	892501.5
NA	NA	NA	NA	"DRC"	895001.5
NA	NA	NA	NA	"DRC"	897501.5
NA	NA	NA	NA	"DRC"	900001.5
NA	NA	NA	NA	"DRC"	902501.5
NA	NA	NA	NA	"DRC"	905001.5
NA	NA	NA	NA	"DRC"	907501.5
NA	NA	NA	NA	"DRC"	910001.5
NA	NA	NA	NA	"DRC"	912501.5
NA	NA	NA	NA	"DRC"	915001.5
NA	NA	NA	NA	"DRC"	917501.5
NA	NA	NA	NA	"DRC"	920001.5
NA	NA	NA	NA	"DRC"	922501.5
NA	NA	NA	NA	"DRC"	925001.5
NA	NA	NA	NA	"DRC"	927501.5
NA	NA	NA	NA	"DRC"	930001.5
NA	NA	NA	NA	"DRC"	932501.5
NA	NA	NA	NA	"DRC"	935001.5
NA	NA	NA	NA	"DRC"	937501.5
NA	NA	NA	NA	"DRC"	940001.5
NA	NA	NA	NA	"DRC"	942501.5
NA	NA	NA	NA	"DRC"	945001.5
NA	NA	NA	NA	"DRC"	947501.5
NA	NA	NA	NA	"DRC"	950001.5
NA	NA	NA	NA	"DRC"	952501.5
NA	NA	NA	NA	"DRC"	955001.5
NA	NA	NA	NA	"DRC"	957501.5
NA	NA	NA	NA	"DRC"	960001.5
NA	NA	NA	NA	"DRC"	962501.5
NA	NA	NA	NA	"DRC"	965001.5
NA	NA	NA	NA	"DRC"	967501.5
NA	NA	NA	NA	"DRC"	970001.5
NA	NA	NA	NA	"DRC"	972501.5
NA	NA	NA	NA	"DRC"	975001.5
NA	NA	NA	NA	"DRC"	977501.5
NA	NA	NA	NA	"DRC"	980001.5
NA	NA	NA	NA	"DRC"	982501.5
NA	NA	NA	NA	"DRC"	985001.5
NA	NA	NA	NA	"DRC"	987501.5
NA	NA	NA	NA	"DRC"	990001.5
NA	NA	NA	NA	"DRC"	992501.5
NA	NA	NA	NA	"DRC"	995001.5
NA	NA	NA	NA	"Gambia"	5001.5
NA	NA	NA	NA	"Gambia"	7501.5
NA	NA	NA	NA	"Gambia"	10001.5
NA	NA	NA	NA	"Gambia"	12501.5
NA	NA	NA	NA	"Gambia"	15001.5
NA	NA	NA	NA	"Gambia"	17501.5
NA	NA	NA	NA	"Gambia"	20001.5
NA	NA	NA	NA	"Gambia"	22501.5
NA	NA	NA	NA	"Gambia"	25001.5
